,,,5mgL,10000,1000,100
10000,14,-7
11000,15,-9
12000,6,-1
13000,5,0
14000,8,-4
15000,9,-5
16000,5,-1
17000,7,-2
18000,10,-4
19000,10,-6
20000,7,2
21000,8,0
22000,7,-1
23000,8,-2
24000,7,-1
25000,10,2
26000,9,0
27000,9,1
28000,9,4
29000,9,3
30000,10,2
31000,8,3
32000,10,5
33000,10,3
34000,11,5
35000,9,1
36000,11,8
37000,15,5
38000,14,4
39000,12,4
40000,14,7
41000,14,7
42000,11,5
43000,10,6
44000,13,9
45000,12,8
46000,17,10
47000,13,10
48000,17,9
49000,16,11
50000,15,10
51000,15,10
52000,15,12
53000,19,9
54000,17,14
55000,17,12
56000,19,11
57000,15,14
58000,17,14
59000,17,13
60000,18,14
61000,16,12
62000,16,16
63000,21,14
64000,18,15
65000,14,19
66000,18,16
67000,19,17
68000,18,16
69000,18,18
70000,18,19
71000,17,20
72000,18,18
73000,19,21
74000,16,19
75000,18,20
76000,20,21
77000,18,22
78000,20,24
79000,18,24
80000,18,23
81000,16,24
82000,19,24
83000,16,24
84000,18,25
85000,17,26
86000,20,22
87000,18,27
88000,18,27
89000,18,28
90000,17,30
91000,13,29
92000,18,30
93000,17,30
94000,17,30
95000,14,30
96000,17,31
97000,17,31
98000,18,34
99000,15,35
100000,16,32
101000,15,35
102000,16,34
103000,14,36
104000,15,37
105000,15,34
106000,12,34
107000,14,35
108000,15,38
