#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4h2po4_12,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
,freq,0.625,1.25,2.5,5.0,10.0
0,10,14530.040188697987,14546.674429468323,14549.373228233671,14549.373228233671,14548.923358932618
1,20,14671.730430392394,14770.547707079364,14794.748960197543,14809.220608306869,14805.469082545957
2,30,14822.899097674854,15042.8840304135,15120.120465371088,15198.689745859801,15175.511480832663
3,40,14969.990954258874,15324.531592129022,15475.01009827809,15667.733810429723,15612.705284492851
4,50,15110.40172645568,15600.190361511426,15833.055365369464,16172.655971343216,16077.49212708385
5,60,15239.890136003627,15861.740379784485,16185.156296569316,16696.540567384272,16558.30970383307
6,70,15362.16644919274,16106.215681833091,16520.869791323665,17201.35844452964,17027.75571582521
7,80,15476.218793197286,16328.131607401128,16839.902983424054,17693.147776703612,17477.855072219092
8,90,15581.207372842677,16537.065461600705,17130.570507338918,18158.855395121707,17903.804495232296
9,100,15678.065633302094,16733.265240311608,17396.39776823089,18591.12789998346,18304.877052078336
10,110,15768.91602968968,16907.687360107022,17642.468181743257,18992.996137524777,18676.859709449374
11,120,15853.209366885441,17064.84089436039,17870.621985557922,19367.40796853893,19024.65773399812
12,130,15935.067793477916,17216.39763198919,18079.845179677304,19713.664801842384,19348.70076532594
13,140,16009.986665174052,17350.289614228088,18275.39881848057,20027.681922100357,19657.36164055597
14,150,16087.34843872343,17482.331386301154,18456.012012270414,20323.38247922606,19933.89474885328
15,160,16159.941524872722,17606.370731423245,18626.7904729662,20596.930286666033,20198.9529353926
16,170,16231.963749847517,17722.09321823917,18786.729125268117,20852.846742854003,20447.951080265495
17,180,16300.452128298914,17833.84118241565,18940.144367117904,21093.424165198983,20679.755950472667
18,190,16372.274222143225,17945.69679548556,19088.66760329921,21323.167225027184,20905.643972896243
19,200,16443.02919366252,18052.559851178772,19224.352010552324,21537.602283486183,21116.37711707064
20,210,16512.990544002878,18153.639003516477,19359.887104964815,21737.65244459663,21313.200847338878
21,220,16585.14523775737,18256.310790582913,19492.33528661479,21930.70216147151,21508.715202885796
22,230,16656.796325181436,18358.257861153634,19619.616754325845,22116.272110179332,21698.353402339035
23,240,16731.476368613476,18459.259502529007,19741.319115089645,22298.899861838127,21882.16214154076
24,250,16803.694229177603,18556.741136046,19863.848278963305,22458.594646017984,22044.66236231473
25,260,16876.13230261382,18654.311271671282,19986.43222365565,22624.50599183712,22213.06628186102
26,270,16952.08011204947,18749.323408948247,20102.972451291007,22779.36610574958,22374.193501064616
27,280,17027.5684952995,18846.315871147206,20219.108933859992,22928.157085097868,22526.312074933234
28,290,17106.287434013047,18941.136867663456,20330.2925443724,23068.327713892624,22678.34254743946
29,300,17181.232649787147,19038.805086027027,20437.628824265197,23211.40824225813,22820.206558397986
30,310,17260.880258470646,19129.18892344033,20545.85743867508,23336.447507663917,22952.68352563091
31,320,17344.067162372074,19223.8107352557,20654.634015384112,23464.64514159513,23086.364842070485
32,330,17424.446485572753,19318.759183313356,20755.607898851802,23581.11420492237,23212.144985558836
33,340,17506.6704687533,19408.62519898679,20857.082112973738,23692.834962363075,23329.50996540786
34,350,17590.14319617327,19503.19775470284,20955.21830452683,23798.80568190932,23441.975014814318
35,360,17676.32657433864,19592.1817901519,21052.178480235652,23900.358157434803,23549.317367748135
36,370,17763.223437895856,19684.962813700386,21147.497636755357,23991.74032481485,23654.795857874054
37,380,17850.441448508693,19776.182662647552,21240.400175394334,24083.511908170698,23750.635242636963
38,390,17938.79405481839,19866.59032178159,21330.401262731277,24160.73791505016,23838.120345002295
39,400,18030.91892894317,19958.783375499253,21422.14340558074,24237.065010492377,23922.132822899046
40,410,18121.59186748611,20044.195165850397,21505.3758235242,24308.107737927498,24005.093834419305
41,420,18212.30478025482,20129.393659071502,21595.00348261015,24374.770002316618,24071.292143840423
42,430,18307.656147984675,20219.11625826434,21674.002730042816,24433.578286476117,24143.286109492605
43,440,18403.17370252854,20306.86985318924,21754.49699327514,24480.801899627266,24206.374452478314
44,450,18501.80075445777,20397.80221683192,21834.000605877187,24525.532827648254,24259.434471124267
45,460,18599.224443964427,20486.33582825743,21908.43543096528,24568.10508032028,24309.426201932572
46,470,18698.587487401688,20574.264599717706,21983.44722557181,24608.734188160397,24350.942760128244
47,480,18803.103099121596,20660.260906025163,22054.623253588878,24633.03265369773,24395.176220516947
48,490,18903.94142047161,20741.436386475154,22118.933563574006,24648.096544860986,24427.255919541345
49,500,19011.614184566217,20834.686708533984,22193.44720042619,24677.602152983436,24461.104603521737
50,510,19119.676761946484,20922.35058821778,22260.815762278875,24693.052105637304,24486.605142738594
51,520,19228.0357884928,21009.33553590946,22326.76952280314,24704.95753625091,24508.874769330352
52,530,19339.145108249915,21098.760785399365,22390.56995381101,24713.31740169329,24524.333328006695
53,540,19453.57514536747,21184.345473908066,22455.772692282913,24715.517433613422,24536.904250807118
54,550,19569.38441493971,21272.762954553014,22516.74780811948,24713.559989578633,24546.787555004044
55,560,19686.810864219562,21364.846117433175,22579.972418882422,24709.799042937142,24550.127724666654
56,570,19806.65758795533,21452.28757704072,22638.64942141482,24703.9660202189,24550.538902820626
57,580,19931.940803280322,21545.72559206804,22701.409321549963,24691.88125272614,24554.396547775206
58,590,20054.76999810597,21637.00936151762,22756.802425397796,24680.986432598063,24546.327520729985
59,600,20181.414219043098,21726.434150524117,22818.245444158692,24668.25629052883,24543.61986061579
60,610,20313.092420991652,21818.853289841893,22881.457450643087,24655.020668675363,24532.993094835118
61,620,20446.13735238494,21914.148923556404,22936.201479715615,24633.800573806115,24524.328926864328
62,630,20583.57530358938,22011.42739984461,22998.963573585428,24612.66038617101,24511.744254608722
63,640,20721.488347134327,22107.469007439613,23057.13911262105,24593.500877500264,24498.57446469971
64,650,20864.5858626656,22207.973337391635,23116.273399540543,24571.722342422872,24486.669661152715
65,660,21009.32069468541,22302.4184762191,23179.79187431564,24544.503652485844,24469.40569436263
66,670,21154.405158654496,22409.26566386122,23239.0779938712,24529.793269006324,24456.056503813095
67,680,21309.094575157706,22511.72149376186,23298.56051141668,24507.921681477535,24438.938822739798
68,690,21460.119146864374,22615.96401277651,23362.98798936957,24481.549832460307,24424.541653036544
69,700,21619.289382062092,22728.347920717217,23430.28161106646,24469.86621965857,24413.090298256437
70,710,21784.0817725333,22835.898837756733,23494.468022125795,24449.986308509575,24399.267321489908
71,720,21949.266621641655,22948.36859537183,23561.16610212237,24429.367377784507,24386.569503420917
72,730,22123.51917392993,23066.85704325278,23636.05000063928,24416.56606832797,24379.127571245397
73,740,22296.362314982835,23181.15585084178,23702.907991674656,24400.087108781467,24365.39702797064
74,750,22475.926990253643,23305.098073595567,23783.25215062192,24386.24685700189,24363.483769646733
75,760,22657.484158053434,23426.322134566442,23854.18306983403,24379.16212600176,24356.194535667695
76,770,22843.61110504648,23555.132168932974,23934.415446180745,24375.453290451085,24355.012819324165
77,780,23035.84812054063,23685.71194522076,24017.565510449942,24373.721905737086,24350.614965369416
78,790,23232.39221171369,23814.65519487411,24101.087351605467,24367.21082196403,24357.059736600077
79,800,23431.07295055501,23953.261303559062,24185.2633087675,24372.972258704536,24361.35055387969
80,810,23635.335098245137,24090.110754469297,24280.31663320177,24381.54312239888,24369.40384127397
81,820,23849.988255594828,24237.451131199214,24370.137258586758,24390.916643647688,24386.16100151121
82,830,24066.11097124579,24386.450435500978,24468.15245535217,24411.077626027018,24404.01204180417
83,840,24286.504287223474,24537.463507441873,24566.457495423427,24423.295788364998,24423.42478244879
84,850,24517.25588648338,24690.53050694166,24669.153954852358,24446.12544627223,24447.52865907617
85,860,24745.758771220695,24851.745540410087,24779.996153242668,24475.347953502223,24475.635404349836
86,870,24989.031526445477,25013.992160186728,24892.81774194851,24507.729120719123,24506.472213437704
87,880,25224.65002006869,25187.932737773186,25004.45709656755,24553.01540617447,24554.66346708622
88,890,25486.75798885064,25351.21387889507,25127.76365476179,24588.28949761357,24588.263522124606
