,,,0.625mgL,10000,1000,100
10000,14,-7
11000,16,-10
12000,6,-3
13000,6,1
14000,9,-5
15000,11,-7
16000,7,-4
17000,8,-1
18000,8,-4
19000,10,-6
20000,4,4
21000,8,3
22000,9,-1
23000,9,-2
24000,9,0
25000,10,1
26000,9,1
27000,8,1
28000,10,6
29000,10,4
30000,11,3
31000,11,2
32000,11,4
33000,11,6
34000,13,1
35000,12,5
36000,16,6
37000,11,8
38000,17,6
39000,15,6
40000,16,7
41000,14,6
42000,13,5
43000,18,4
44000,18,8
45000,17,7
46000,18,11
47000,16,10
48000,20,11
49000,17,10
50000,19,12
51000,17,12
52000,19,13
53000,16,11
54000,18,15
55000,19,12
56000,19,13
57000,17,14
58000,18,17
59000,21,14
60000,19,16
61000,18,17
62000,18,17
63000,19,15
64000,19,17
65000,19,22
66000,19,19
67000,21,20
68000,21,19
69000,20,19
70000,20,20
71000,20,20
72000,19,21
73000,20,24
74000,17,21
75000,21,22
76000,21,21
77000,20,24
78000,21,25
79000,20,24
80000,20,25
81000,19,26
82000,20,25
83000,20,25
84000,19,28
85000,20,27
86000,22,33
87000,21,30
88000,19,29
89000,20,32
90000,21,30
91000,17,32
92000,20,32
93000,19,33
94000,18,34
95000,17,32
96000,20,36
97000,17,38
98000,19,36
99000,16,35
100000,18,35
101000,17,39
102000,18,39
103000,14,37
104000,16,37
105000,17,38
106000,15,39
107000,18,40
108000,15,39
