,,,5mgL,10000,1000,100
10000,15,-8
11000,17,-11
12000,8,-3
13000,6,-1
14000,11,-5
15000,11,-5
16000,11,-2
17000,10,-2
18000,11,-6
19000,11,-6
20000,10,2
21000,11,1
22000,12,-3
23000,11,-2
24000,12,0
25000,11,-2
26000,12,1
27000,14,-2
28000,16,5
29000,15,4
30000,15,3
31000,15,5
32000,18,4
33000,18,5
34000,14,4
35000,19,6
36000,19,10
37000,15,6
38000,20,5
39000,19,8
40000,21,8
41000,20,7
42000,19,6
43000,19,11
44000,23,12
45000,21,10
46000,25,11
47000,22,12
48000,26,11
49000,22,11
50000,25,14
51000,25,14
52000,24,13
53000,27,18
54000,26,16
55000,26,15
56000,25,15
57000,24,16
58000,20,18
59000,27,19
60000,28,18
61000,28,17
62000,26,20
63000,28,19
64000,29,20
65000,24,23
66000,28,22
67000,29,22
68000,29,23
69000,27,25
70000,29,25
71000,28,28
72000,30,26
73000,29,29
74000,28,30
75000,29,29
76000,29,31
77000,29,31
78000,31,32
79000,28,32
80000,29,33
81000,28,33
82000,29,36
83000,29,32
84000,29,34
85000,28,36
86000,30,40
87000,29,39
88000,29,39
89000,30,41
90000,27,40
91000,26,41
92000,28,42
93000,29,42
94000,28,45
95000,26,44
96000,26,44
97000,30,47
98000,25,47
99000,26,45
100000,27,49
101000,23,49
102000,25,50
103000,25,52
104000,28,51
105000,26,53
106000,25,52
107000,25,53
108000,25,53
