#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#tap1,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
10,32264,10,1.0
20,31753,20,1.0
30,30772,30,1.0
40,29237,40,1.0
50,27124,50,1.0
60,24461,60,1.0
70,21324,70,1.0
80,17818,80,1.0
90,14064,90,1.0
100,10186,100,1.0
110,6287,110,1.0
120,1556,120,1.0
130,190,130,1.0
140,156,140,1.0
150,153,150,1.0
160,150,160,1.0
170,147,170,1.0
180,143,180,1.0
190,140,190,1.0
200,136,200,1.0
210,133,210,1.0
220,129,220,1.0
230,125,230,1.0
240,121,240,1.0
250,116,250,1.0
260,112,260,1.0
270,107,270,1.0
280,103,280,1.0
290,98,290,1.0
300,93,300,1.0
310,89,310,1.0
320,84,320,1.0
330,79,330,1.0
340,73,340,1.0
350,64,350,1.0
360,51,360,1.0
370,29,370,1.0
380,-4,380,1.0
390,-56,390,1.0
400,-130,400,1.0
410,-232,410,1.0
420,-368,420,1.0
430,-543,430,1.0
440,-765,440,1.0
450,-1036,450,1.0
460,-1358,460,1.0
470,-1734,470,1.0
480,-2160,480,1.0
490,-2647,490,1.0
500,-3173,500,1.0
510,-3755,510,1.0
520,-4371,520,1.0
530,-5031,530,1.0
540,-5730,540,1.0
550,-6460,550,1.0
560,-7224,560,1.0
570,-8008,570,1.0
580,-8801,580,1.0
590,-9613,590,1.0
600,-10440,600,1.0
610,-11259,610,1.0
620,-12088,620,1.0
630,-12909,630,1.0
640,-13733,640,1.0
650,-14538,650,1.0
660,-15339,660,1.0
670,-16108,670,1.0
680,-16859,680,1.0
690,-17596,690,1.0
700,-18296,700,1.0
710,-18974,710,1.0
720,-19615,720,1.0
730,-20229,730,1.0
740,-20805,740,1.0
750,-21338,750,1.0
760,-21842,760,1.0
770,-22305,770,1.0
780,-22727,780,1.0
790,-23104,790,1.0
800,-23439,800,1.0
810,-23738,810,1.0
820,-23989,820,1.0
830,-24198,830,1.0
840,-24360,840,1.0
850,-24484,850,1.0
860,-24559,860,1.0
870,-24595,870,1.0
880,-24584,880,1.0
890,-24542,890,1.0
900,-24447,900,1.0
910,-24319,910,1.0
920,-24150,920,1.0
930,-23941,930,1.0
940,-23702,940,1.0
950,-23429,950,1.0
960,-23126,960,1.0
970,-22793,970,1.0
980,-22441,980,1.0
990,-22064,990,1.0
1000,-21667,1000,1.0
