#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#tap1,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
,freq,1.0
0,10,14570.124978715292
1,20,14782.130841643477
2,30,15214.398708099317
3,40,15955.032456035218
4,50,17116.35325340788
5,60,18867.436926981005
6,70,21487.10210947522
7,80,25491.32895762097
8,90,31951.349088306335
9,100,43511.86826585813
10,110,69043.08078032055
11,120,260253.79574547758
12,130,2190456.0978388716
13,140,2717107.7653952483
14,150,2724026.401253762
15,160,2735660.419933546
16,170,2736864.4754980532
17,180,2757105.890989668
18,190,2752097.691765249
19,200,2766534.5263676946
20,210,2765338.704169459
21,220,2774176.4368046736
22,230,2779986.033974464
23,240,2794227.2822652813
24,250,2805789.206555447
25,260,2814668.8641738296
26,270,2832067.7095622504
27,280,2835617.2804019847
28,290,2846815.87103482
29,300,2868922.7841228037
30,310,2864077.7515130653
31,320,2880630.3104783315
32,330,2894289.2399750254
33,340,2881224.8622463546
34,350,2851678.5172830326
35,360,2723249.980524563
36,370,2511550.423307091
37,380,2157026.2349441005
38,390,1736410.4651838248
39,400,1332994.1654819667
40,410,1002050.4697685263
41,420,750723.6946269299
42,430,569090.9230773462
43,440,436712.39983061736
44,450,341564.04544837086
45,460,272322.5785137076
46,470,220923.02222472624
47,480,182559.78990481992
48,490,152716.9694176915
49,500,130015.9178249733
50,510,111841.04642968044
51,520,97595.70339968285
52,530,85974.35296267305
53,540,76422.3858731879
54,550,68532.33242399593
55,560,61882.74290579171
56,570,56307.92403170251
57,580,51629.513935076626
58,590,47590.4610502451
59,600,44085.08716776292
60,610,41088.59724957483
61,620,38439.25611505609
62,630,36126.69023553661
63,640,34060.80655465328
64,650,32249.362250028953
65,660,30616.112477543156
66,670,29184.873597568476
67,680,27896.455243915792
68,690,26722.783700187494
69,700,25679.76184955353
70,710,24727.537327095983
71,720,23871.393072363797
72,730,23087.28563075224
73,740,22376.37576425166
74,750,21735.355550549706
75,760,21140.894180510062
76,770,20599.378054421068
77,780,20104.401679572413
78,790,19653.81964508143
79,800,19241.240436911685
80,810,18857.054361199724
81,820,18509.442326315468
82,830,18189.835040070426
83,840,17900.101851813062
84,850,17631.731975299022
85,860,17390.048037467754
86,870,17166.471898762866
87,880,16966.831655270544
88,890,16776.080257361697
89,900,16613.144009424028
90,910,16464.234560143606
91,920,16328.174560589912
92,930,16207.033214081037
93,940,16098.636470372008
94,950,16002.124513419189
95,960,15918.91626178446
96,970,15846.066604616919
97,980,15779.519259113256
98,990,15723.407078294142
99,1000,15673.951504215604
