#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4no3_1,20.0,1000,200,450,4,1,1,1.0152170736012073e-08,mgL
freq, real, imaginary, concentration
,freq,0.625,1.25,2.5,5.0,10.0
0,1000,6025.574562604569,5531.31701230961,5487.60483988847,3763.260598730414,4601.3467817407545
1,1200,7899.369428600309,6517.495113019586,6403.173800607467,3932.2731824622497,4883.680172300499
2,1400,11402.910996281158,8395.849841202898,8168.1982381935695,4486.393417829979,5721.40149967398
3,1600,19210.381879304958,12080.027072411447,11597.265284913661,5352.485223437874,7233.0891549693715
4,1800,39533.5830276647,17784.67823522927,16739.909554676182,5987.774039115379,8920.297287096775
5,2000,50330.01650980705,19054.899210773616,17817.704718041594,5856.273936787685,9132.972313125954
6,2200,38212.00301572599,17038.004549784953,16031.359644508952,5593.775487502172,8645.68582627998
7,2400,36133.81391626298,16481.050640600457,15513.276463657914,5502.784958995801,8481.183177397543
8,2600,41760.61114135762,17532.11248305377,16418.10445680346,5592.274391701854,8738.128639685458
9,2800,50977.86153156624,18949.25316449574,17626.311030536814,5671.76603129713,9073.62218640991
10,3000,52583.75173481456,19103.691601597333,17746.451490419367,5619.496206072685,9093.847239571625
11,3200,48240.639436579564,18494.88705514716,17203.43917612209,5541.201170576688,8952.987553939642
12,3400,46936.1616279071,18247.994651530815,16984.38146085891,5501.686682301831,8889.878073193857
13,3600,49685.3998071841,18618.9187237421,17292.311745807026,5514.376323662125,8966.824843779841
14,3800,53118.82090094291,19068.968499881936,17661.31620385259,5524.430935428414,9066.851481471067
15,4000,52850.936140199505,19046.781003063206,17621.277435556836,5491.805335743501,9055.223019753887
16,4200,50737.29702525022,18753.93062573305,17370.567504061753,5456.13336838465,8993.068128817107
17,4400,50360.12121361366,18665.055368541332,17296.785633834905,5438.5396684183,8971.088873324816
18,4600,52037.360392808165,18861.842483646684,17462.138750882896,5446.242105100931,9013.467902435756
19,4800,53439.3651807331,19052.82306338526,17619.76064297654,5444.667618475637,9056.728683339588
20,5000,52770.04078430382,18985.854121489832,17547.312935031285,5421.14388447814,9038.252138707292
21,5200,51533.27222733309,18817.853245105336,17391.44842443105,5397.020697599063,9001.131045810338
22,5400,51367.89767232808,18788.375297383842,17353.207555100205,5386.282429773092,8991.536033681043
23,5600,52429.334214686714,18917.538484876735,17462.977644457565,5391.128650604445,9020.045843015283
24,5800,53322.03672013434,19026.437441398477,17562.17893198499,5391.960312015703,9048.282690312964
25,6000,52808.29412783982,18984.304997082905,17508.198512080053,5378.268295239934,9035.850085369251
26,6200,51984.547251679774,18880.291618180498,17416.104113339854,5360.245544981749,9009.508162913471
27,6400,51852.87702521659,18868.341921573287,17387.062949163883,5351.14100118349,9002.028223026966
28,6600,52556.678792331986,18963.866934653804,17458.464082357874,5353.194549648891,9024.015712138307
29,6800,53144.513564300694,19037.1672500958,17529.95119282688,5354.628637818849,9043.726207076013
30,7000,52979.19345056919,19018.47713378159,17517.375828611148,5349.249381105358,9042.80149201162
31,7200,52594.27474510883,18967.403199632136,17477.04992905147,5341.590743054855,9034.203726457888
32,7400,52456.15867164765,18946.008454311883,17458.533461518542,5333.9618796557725,9027.855989218988
33,7600,52716.628512454365,19000.966760955154,17492.537772441643,5331.082690098158,9037.20278284352
34,7800,52786.898091390896,19034.01186012992,17508.0480574635,5325.186032284594,9042.694948670007
35,8000,52585.13045914622,19026.663190020332,17489.383371703927,5319.919259359949,9040.61715396283
36,8200,52307.98444916139,18986.32143696371,17455.053731636362,5312.509369043216,9031.62983576032
37,8400,52282.77108666882,18986.07701784938,17457.556196534548,5310.2683815733635,9034.785451646774
38,8600,52497.55002433295,19004.19169114585,17485.08731961123,5312.916799512516,9045.659866818469
39,8800,52456.619856144986,19015.247052734438,17494.402977932947,5309.69968305038,9049.260603283941
40,9000,52160.005712325525,18985.797693277007,17469.424994921883,5303.321545213508,9042.744752259732
41,9200,51890.94013189345,18974.334867574744,17443.908928568097,5297.793598247018,9039.27917528091
42,9400,51941.96600988416,18995.588459341205,17448.982554379592,5295.398969322291,9042.196881830201
43,9600,52180.904441290826,19031.867574090087,17479.50021889492,5297.049875197532,9048.69135003334
44,9800,52138.60617102422,19039.224056752268,17482.470839960715,5298.547791825073,9053.801175008537
45,10000,51848.48057064745,18998.66505205002,17460.582576366804,5290.795381174103,9049.747272451512
46,10200,51586.46782448136,18968.46457045972,17437.80318918333,5286.246857555195,9045.069517625227
47,10400,51661.13817858676,18970.70676567725,17445.52221185505,5283.837557848571,9046.813515180153
48,10600,51768.84873153192,19006.277100550564,17475.19191795039,5283.580662062646,9057.845211619848
49,10800,51859.27974568227,19046.50931669959,17490.412866088613,5282.468700213666,9062.927642118175
50,11000,51768.84158174233,19053.783339787962,17490.218753615296,5281.066263926674,9063.576478172185
51,11200,51603.93653775966,19053.214427998402,17477.014441127125,5280.919316380347,9063.202475005159
52,11400,51520.0395427499,19048.526411181003,17472.97793170103,5280.806364627443,9062.677536765723
53,11600,51485.98604491888,19051.463454835855,17484.504706959033,5280.236692211844,9068.045036376807
54,11800,51414.12351967417,19039.867123411117,17477.396841774917,5277.496947780009,9068.37694275513
55,12000,51274.123704368416,19031.473615918658,17476.69368411459,5274.016798198707,9067.835274354984
56,12200,51161.154741817176,19030.625747463102,17475.601977208626,5274.326771227427,9068.917939488258
57,12400,51161.154741817176,19048.002489056715,17474.33696435624,5269.998504234357,9072.458368481604
58,12600,51085.907501751564,19065.90049073794,17489.049803790054,5270.550375105544,9074.424421858293
59,12800,50861.816924818246,19069.051758308575,17475.843735930775,5269.19817108422,9073.92390454459
60,13000,50732.229455694134,19056.599775849507,17462.07920693212,5268.820478496848,9072.213976278545
61,13200,50614.53582585263,19054.68529060361,17469.626933145224,5269.675282082536,9076.357460196523
62,13400,50666.066659941,19064.500587462953,17474.157959726384,5268.476364474635,9078.717700606268
63,13600,50672.98509781163,19067.389297640653,17485.772756004368,5267.582855692433,9083.757340814038
64,13800,50550.95527655765,19062.886795985916,17482.199894880163,5264.668566339309,9084.061732263923
65,14000,50364.35387818603,19061.88445223798,17471.29793154363,5262.268541817728,9081.448902220984
