#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4no3_10,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
10,32367,10,0.625
20,32034,20,0.625
30,31663,30,0.625
40,31270,40,0.625
50,30862,50,0.625
60,30447,60,0.625
70,30018,70,0.625
80,29573,80,0.625
90,29115,90,0.625
100,28641,100,0.625
110,28168,110,0.625
120,27668,120,0.625
130,27164,130,0.625
140,26651,140,0.625
150,26108,150,0.625
160,25550,160,0.625
170,24972,170,0.625
180,24382,180,0.625
190,23761,190,0.625
200,23118,200,0.625
210,22464,210,0.625
220,21786,220,0.625
230,21090,230,0.625
240,20381,240,0.625
250,19652,250,0.625
260,18901,260,0.625
270,18141,270,0.625
280,17363,280,0.625
290,16581,290,0.625
300,15778,300,0.625
310,14967,310,0.625
320,14135,320,0.625
330,13314,330,0.625
340,12471,340,0.625
350,11620,350,0.625
360,10769,360,0.625
370,9903,370,0.625
380,9041,380,0.625
390,8173,390,0.625
400,7300,400,0.625
410,6430,410,0.625
420,5561,420,0.625
430,4687,430,0.625
440,3817,440,0.625
450,2950,450,0.625
460,2089,460,0.625
470,1223,470,0.625
480,379,480,0.625
490,-469,490,0.625
500,-1295,500,0.625
510,-2136,510,0.625
520,-2944,520,0.625
530,-3747,530,0.625
540,-4541,540,0.625
550,-5315,550,0.625
560,-6080,560,0.625
570,-6824,570,0.625
580,-7556,580,0.625
590,-8270,590,0.625
600,-8965,600,0.625
610,-9639,610,0.625
620,-10292,620,0.625
630,-10925,630,0.625
640,-11530,640,0.625
650,-12118,650,0.625
660,-12682,660,0.625
670,-13215,670,0.625
680,-13733,680,0.625
690,-14215,690,0.625
700,-14680,700,0.625
710,-15110,710,0.625
720,-15519,720,0.625
730,-15893,730,0.625
740,-16242,740,0.625
750,-16562,750,0.625
760,-16867,760,0.625
770,-17133,770,0.625
780,-17369,780,0.625
790,-17573,790,0.625
800,-17760,800,0.625
810,-17909,810,0.625
820,-18032,820,0.625
830,-18129,830,0.625
840,-18199,840,0.625
850,-18236,850,0.625
860,-18257,860,0.625
870,-18244,870,0.625
880,-18214,880,0.625
890,-18146,890,0.625
900,-18061,900,0.625
910,-17947,910,0.625
920,-17819,920,0.625
930,-17666,930,0.625
940,-17488,940,0.625
950,-17293,950,0.625
960,-17081,960,0.625
970,-16840,970,0.625
980,-16589,980,0.625
990,-16322,990,0.625
1000,-16034,1000,0.625
10,32326,10,1.25
20,31767,20,1.25
30,31062,30,1.25
40,30315,40,1.25
50,29579,50,1.25
60,28863,60,1.25
70,28188,70,1.25
80,27531,80,1.25
90,26891,90,1.25
100,26287,100,1.25
110,25694,110,1.25
120,25113,120,1.25
130,24542,130,1.25
140,23979,140,1.25
150,23406,150,1.25
160,22832,160,1.25
170,22251,170,1.25
180,21662,180,1.25
190,21064,190,1.25
200,20457,200,1.25
210,19845,210,1.25
220,19215,220,1.25
230,18577,230,1.25
240,17924,240,1.25
250,17268,250,1.25
260,16594,260,1.25
270,15914,270,1.25
280,15220,280,1.25
290,14518,290,1.25
300,13809,300,1.25
310,13089,310,1.25
320,12362,320,1.25
330,11620,330,1.25
340,10875,340,1.25
350,10124,350,1.25
360,9369,360,1.25
370,8605,370,1.25
380,7832,380,1.25
390,7056,390,1.25
400,6276,400,1.25
410,5496,410,1.25
420,4705,420,1.25
430,3922,430,1.25
440,3128,440,1.25
450,2338,450,1.25
460,1547,460,1.25
470,763,470,1.25
480,-32,480,1.25
490,-818,490,1.25
500,-1598,500,1.25
510,-2381,510,1.25
520,-3148,520,1.25
530,-3916,530,1.25
540,-4666,540,1.25
550,-5416,550,1.25
560,-6154,560,1.25
570,-6890,570,1.25
580,-7591,580,1.25
590,-8295,590,1.25
600,-8986,600,1.25
610,-9649,610,1.25
620,-10301,620,1.25
630,-10936,630,1.25
640,-11550,640,1.25
650,-12146,650,1.25
660,-12725,660,1.25
670,-13270,670,1.25
680,-13798,680,1.25
690,-14304,690,1.25
700,-14779,700,1.25
710,-15232,710,1.25
720,-15660,720,1.25
730,-16058,730,1.25
740,-16430,740,1.25
750,-16777,750,1.25
760,-17083,760,1.25
770,-17373,770,1.25
