#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4cl_mid_2,20.0,1000,20,100,4,2,1,2.1318461803619654e-08,mgL
freq, real, imaginary, concentration
,freq,50.0,100.0,200.0,400.0
0,1000,1626.815399591816,1582.7086243281694,1572.0829711655222,1580.4475929730772
1,1020,1616.6498503615182,1572.0008756008313,1560.9883221422751,1567.9048145824672
2,1040,1611.766832727755,1566.7693202476735,1554.939670204294,1560.8431717451242
3,1060,1609.2974341038555,1563.4151892542395,1551.2654203124941,1555.6303628857274
4,1080,1608.129811949952,1561.5048154785752,1549.6114169068164,1553.083152589185
5,1100,1608.637292498347,1561.2586820120139,1550.1248110108957,1552.906589891376
6,1120,1612.646011188247,1563.4718586756455,1551.837875857693,1554.7859831034737
7,1140,1619.0236840882385,1568.384775565083,1555.576087487093,1557.5299512597198
8,1160,1625.1568088091153,1573.772919508863,1560.9901510724474,1562.598975977338
9,1180,1634.351841209643,1580.931470987312,1567.8578392801269,1568.7963892179384
10,1200,1644.6850577513,1589.7325606693119,1576.488325539334,1576.482533044194
11,1220,1656.378550393616,1599.9081985247076,1586.2188144163124,1585.9415206809356
12,1240,1669.6397200417598,1611.6634965457063,1597.6992627829773,1596.7833740939209
13,1260,1684.377849509885,1624.9324148295134,1610.3562864059463,1609.1385408772423
14,1280,1700.2919333690763,1639.2758514915488,1624.6099125491246,1622.7301216534152
15,1300,1717.9895935713037,1655.3083291596565,1640.1290672718621,1637.75838088708
16,1320,1736.769360403523,1672.411631061734,1656.8785836928462,1654.0407036142426
17,1340,1756.3389552339193,1690.496608879917,1674.6417112278793,1671.352846017531
18,1360,1777.768745865737,1710.3695446554177,1694.169635597198,1690.3571468999453
19,1380,1800.3364090829164,1731.3369977865425,1714.5351482368621,1710.3453593980844
20,1400,1824.478345247064,1753.6140633025082,1736.541172682629,1731.9478618774144
21,1420,1849.2870879536165,1776.744219260248,1759.4030111423563,1754.1855717862948
22,1440,1875.664707140166,1801.1310111344685,1783.421913659049,1777.8449730361976
23,1460,1903.5036046152409,1827.048123687671,1808.6983235581613,1802.7628251426768
24,1480,1932.6213298245943,1853.9602706654757,1835.1450173877113,1828.6580948231538
25,1500,1963.3849686570159,1882.200798557183,1862.9836550236485,1856.0594792382392
26,1520,1994.9258505190235,1911.286355302773,1891.4589305339312,1884.0451709114313
27,1540,2027.3932940487985,1941.2785986048582,1920.7739382930765,1912.8663107737395
28,1560,2061.1199455865117,1972.3516899837257,1951.0360716931698,1942.7763827099843
29,1580,2094.822967714884,2002.9325006079218,1981.1019054332066,1972.4665093951135
30,1600,2129.762621634496,2035.0821686181264,2012.4620928591737,2003.179156137074
31,1620,2164.1483350604535,2066.345939211047,2042.8303481542123,2033.4578151593237
32,1640,2198.13268199582,2097.3603448259055,2073.3192755801747,2063.5747654251363
33,1660,2230.966170283029,2127.893277174733,2102.9495695870396,2092.7017530034054
34,1680,2263.2012273870578,2156.572799971041,2131.082620169628,2121.025042245059
35,1700,2294.5908976720257,2185.0636528356254,2159.0470598554875,2148.476971770065
36,1720,2322.587677594496,2210.623822031436,2183.915967486172,2173.452551502637
37,1740,2348.533706823358,2234.649764641875,2207.2773572096476,2196.8152030638244
38,1760,2372.228187431967,2256.0377188500665,2228.397418518375,2218.131618084728
39,1780,2392.751718922227,2274.8996557052833,2246.9857052335274,2236.8497481045315
40,1800,2410.0084750654723,2290.842947841648,2262.4810949561775,2252.5930579058377
41,1820,2424.5005012430847,2304.306284306452,2275.5867126640082,2265.9997735360057
42,1840,2435.9154528496124,2315.032710404589,2286.404691170458,2276.92534780685
43,1860,2443.4852066780045,2322.062101933196,2293.4309263191262,2284.3185628583205
44,1880,2448.4168930550695,2327.230633228681,2298.581360859545,2289.7929334949704
45,1900,2451.024917153417,2329.8282456353736,2301.1721195273626,2292.689060601745
46,1920,2450.3884696769196,2330.0637760877157,2301.397621657039,2293.2123341724937
47,1940,2448.073377111322,2328.3613291354136,2300.2321529610217,2292.3445109480945
48,1960,2444.7163176023296,2325.3946588745266,2297.3226270683895,2289.794275752512
49,1980,2439.59608789493,2321.082458626936,2293.3195846537524,2285.994807853809
50,2000,2433.68435374159,2316.1116841884264,2288.698222324301,2281.406814796213
51,2020,2426.6828746497017,2310.2794177211385,2282.6906146043984,2275.680127299355
52,2040,2419.3245344871257,2303.7291882525838,2276.55800575022,2269.68131777273
53,2060,2411.6372065329397,2296.9457387920747,2269.9511296345295,2263.2954749556875
54,2080,2403.977201218759,2290.1419453643643,2263.324645193804,2256.826043304428
55,2100,2396.523533931194,2283.5515366695195,2256.966977431193,2250.249176814009
56,2120,2388.9533117820615,2276.5930784242414,2250.0376806473128,2243.6440039836266
57,2140,2382.0581892501336,2270.5209915507435,2244.2100830828795,2237.749274715736
58,2160,2375.154425128367,2264.123223152599,2238.150267705903,2231.5378561473162
59,2180,2368.724965776556,2258.50929821103,2232.3540014867212,2225.884777002245
60,2200,2362.6080532403676,2252.883294781731,2226.9495468087785,2220.6285315844448
61,2220,2357.5710385822613,2248.276620444831,2222.458410962764,2216.1545072323156
62,2240,2352.859562136534,2244.0793395108776,2218.2310982225126,2211.7976085671526
63,2260,2348.4652309588873,2240.1684264291516,2214.4794641417275,2208.0256862831143
64,2280,2345.092369494773,2237.1462707527317,2211.448133013605,2204.9902173462647
65,2300,2342.6270041613793,2234.755564546344,2209.162131376869,2202.747777672926
66,2320,2340.073265776038,2232.3724255183956,2207.065028085698,2200.4748031769363
67,2340,2338.76007895362,2231.2966105933083,2205.892668027604,2199.2774268883236
68,2360,2338.3143488243954,2231.0056476142063,2205.552129776577,2198.5850012611168
69,2380,2337.5437688756065,2230.506585846077,2205.148926890779,2198.4063419164067
70,2400,2338.1841094659458,2231.1275068763093,2205.895799876613,2199.019785938077
71,2420,2339.872894577237,2232.761861232583,2207.3162647956037,2200.4590413244728
72,2440,2342.482609740593,2235.6715898760804,2209.792813458287,2202.1598640426196
73,2460,2344.7257013059793,2237.47310676676,2211.8191009881307,2204.673069055195
74,2480,2348.2513295610624,2240.726836774556,2214.887600417668,2207.76614492236
75,2500,2352.3759770033275,2244.358708755771,2218.575323245657,2211.3150731078454
