#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_5,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,0.65,1.25,2.5,5.0,7.5,10.0,15.0,30.0
135,28000,90.289,89.849,88.588,87.918,86.246,83.810,82.929,79.072
136,28200,90.286,89.848,88.588,87.914,86.243,83.809,82.927,79.068
137,28400,90.284,89.843,88.584,87.917,86.245,83.806,82.925,79.063
138,28600,90.278,89.838,88.584,87.913,86.237,83.802,82.920,79.045
139,28800,90.275,89.835,88.580,87.910,86.235,83.801,82.916,79.048
140,29000,90.271,89.830,88.576,87.905,86.234,83.803,82.912,79.040
141,29200,90.269,89.827,88.574,87.905,86.226,83.800,82.908,79.040
142,29400,90.267,89.829,88.572,87.904,86.225,83.796,82.904,79.001
143,29600,90.261,89.826,88.566,87.907,86.221,83.799,82.902,79.027
144,29800,90.263,89.819,88.566,87.898,86.220,83.795,82.898,79.020
145,30000,90.254,89.815,88.562,87.892,86.218,83.787,82.890,79.014
146,30200,90.254,89.808,88.558,87.891,86.219,83.790,82.892,79.004
147,30400,90.254,89.808,88.555,87.890,86.221,83.786,82.890,79.004
148,30600,90.255,89.805,88.557,87.891,86.216,83.787,82.882,79.002
149,30800,90.247,89.808,88.553,87.891,86.216,83.791,82.884,79.000
150,31000,90.244,89.804,88.555,87.892,86.217,83.788,82.879,78.991
151,31200,90.239,89.802,88.548,87.887,86.215,83.784,82.877,78.982
152,31400,90.239,89.797,88.546,87.884,86.212,83.784,82.877,78.985
153,31600,90.236,89.793,88.543,87.885,86.209,83.784,82.873,78.980
154,31800,90.247,89.791,88.541,87.880,86.204,83.787,82.871,78.974
155,32000,90.235,89.789,88.543,87.879,86.208,83.785,82.871,78.976
156,32200,90.235,89.788,88.539,87.882,86.210,83.784,82.870,78.969
157,32400,90.225,89.786,88.540,87.877,86.205,83.782,82.868,78.967
158,32600,90.221,89.782,88.535,87.873,86.208,83.780,82.863,78.951
159,32800,90.220,89.780,88.533,87.873,86.213,83.781,82.863,78.959
160,33000,90.214,89.773,88.526,87.869,86.212,83.778,82.860,78.954
161,33200,90.216,89.772,88.527,87.870,86.214,83.777,82.856,78.948
162,33400,90.211,89.772,88.527,87.870,86.213,83.782,82.858,78.954
163,33600,90.206,89.768,88.525,87.864,86.210,83.777,82.858,78.944
164,33800,90.205,89.761,88.517,87.860,86.202,83.776,82.850,78.936
165,34000,90.197,89.754,88.511,87.856,86.197,83.771,82.843,78.937
166,34200,90.198,89.750,88.511,87.852,86.201,83.774,82.844,78.930
167,34400,90.202,89.753,88.515,87.859,86.206,83.777,82.845,78.932
168,34600,90.200,89.758,88.515,87.862,86.200,83.775,82.844,78.932
169,34800,90.201,89.755,88.514,87.859,86.204,83.781,82.846,78.932
170,35000,90.196,89.750,88.511,87.855,86.206,83.779,82.846,78.930
171,35200,90.190,89.746,88.509,87.856,86.205,83.781,82.846,78.925
