#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_5,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,0.65,1.25,2.5,5.0,7.5,10.0,15.0,30.0
0,1000,6015.218239870602,5893.953058398321,5587.178646336143,5329.082613129998,4885.059402002033,4226.977935364428,4125.339698655828,3453.47840224909
1,1200,7826.293439019699,7407.47550098452,6586.952537980192,6057.178842899416,5293.914830105281,4380.550655490079,4244.206860051584,3489.497400050035
2,1400,11155.548050413163,10169.020064430368,8485.790135664258,7552.455756732704,6325.995421494524,5017.179484148464,4825.226888355344,3871.9745708042824
3,1600,18441.649391692277,15956.547286639194,12211.045311842823,10414.673663954974,8223.793707053219,6145.316740211757,5854.376783835898,4526.169447979918
4,1800,36303.93827830665,27850.639526495783,18062.81017978571,14420.873633578176,10514.51911021119,7322.263054359167,6904.012269825506,5132.8507335276
5,2000,45050.85763312684,32101.564360636046,19427.828731340305,15238.527859991209,10876.898959146964,7447.76669825725,7003.598593684505,5185.937907479663
6,2200,35048.40901485039,26741.654596294156,17326.898749138214,13949.49308842119,10209.669569534673,7125.504903540661,6713.326695299465,5033.6740206467975
7,2400,33003.74665071043,25479.52660015119,16712.359731775923,13562.983805492902,9994.645869244636,7013.307258444396,6609.570870099603,4981.633932210239
8,2600,37436.3188073842,28063.696889565243,17756.73437670611,14264.06197968855,10370.491719101283,7190.991193058885,6762.110791068376,5073.747815335146
9,2800,44721.93801286357,31897.983279859596,19181.223123358955,15205.489374826599,10845.920546843656,7417.357080393989,6957.217025416045,5187.953441866082
10,3000,46031.522390572994,32473.78373028571,19342.54101163211,15314.228568944365,10891.941134799774,7428.053666171376,6962.3539489255045,5192.7096657328575
11,3200,42667.480445357,30741.796739898167,18705.33483176778,14931.86168156138,10696.947516204213,7336.949668663002,6880.205641271979,5150.5381993390565
12,3400,41552.14493757685,30099.46248850021,18436.140454725864,14772.592043432995,10616.962186796101,7296.171776623213,6841.110575260153,5132.188566063397
13,3600,43594.41745855773,31144.52766505424,18784.427193675165,15014.39916583305,10733.509629379736,7349.269186607255,6884.053598268146,5158.231220462062
14,3800,46072.03300108793,32423.478043610576,19220.89252891048,15318.50065650631,10891.024184375296,7420.07867862567,6941.337700194897,5192.601175994976
15,4000,45913.950348385595,32361.47186604738,19174.505888881482,15302.52107667156,10879.962087725817,7411.512513457547,6929.131658055882,5188.996917218462
16,4200,44242.99828162407,31547.873822958056,18877.37616531871,15124.794814386989,10792.973230540581,7372.358444917549,6892.055384970006,5170.174956827619
17,4400,43777.22533472121,31327.792641039367,18777.52681189704,15073.92662276147,10771.972533137316,7358.973749616533,6877.528348220168,5162.48908853939
18,4600,44938.03680484767,31924.2545676007,18974.756269127174,15210.126577922385,10844.067303458769,7391.059236620538,6902.138706628187,5177.903325313559
19,4800,46014.51757941403,32470.288298241852,19157.322236903623,15341.948069911892,10902.720257526824,7421.921394399919,6925.674559902387,5192.173344213539
20,5000,45559.89866291274,32265.302441480384,19068.176706002898,15302.117791498891,10879.447427078192,7410.834171830296,6911.218229317358,5185.37772869394
21,5200,44559.61444916615,31790.992801642104,18883.634885681502,15197.190020990567,10826.414376011464,7387.043487967603,6888.132999345222,5174.454305691725
22,5400,44400.50257832875,31681.267663425628,18830.690576584024,15173.874780450442,10810.83218213216,7383.379340427108,6882.020225202573,5171.945468528845
23,5600,45116.81817743234,32061.441175512577,18952.19117696341,15261.74514321156,10857.673264502833,7403.733906587007,6898.229166541415,5180.635507219747
