#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_5,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
1000,-16021,1000,0.65
1200,-8404,1200,0.65
1400,-1576,1400,0.65
1600,1262,1600,0.65
1800,779,1800,0.65
2000,-453,2000,0.65
2200,-759,2200,0.65
2400,-284,2400,0.65
2600,129,2600,0.65
2800,48,2800,0.65
3000,-225,3000,0.65
3200,-300,3200,0.65
3400,-162,3400,0.65
3600,-47,3600,0.65
3800,-92,3800,0.65
4000,-189,4000,0.65
4200,-204,4200,0.65
4400,-135,4400,0.65
4600,-92,4600,0.65
4800,-125,4800,0.65
5000,-174,5000,0.65
5200,-170,5200,0.65
5400,-124,5400,0.65
5600,-99,5600,0.65
5800,-122,5800,0.65
6000,-154,6000,0.65
6200,-151,6200,0.65
6400,-120,6400,0.65
6600,-102,6600,0.65
6800,-113,6800,0.65
7000,-134,7000,0.65
7200,-137,7200,0.65
7400,-125,7400,0.65
7600,-123,7600,0.65
7800,-132,7800,0.65
8000,-140,8000,0.65
8200,-137,8200,0.65
8400,-127,8400,0.65
8600,-127,8600,0.65
8800,-136,8800,0.65
9000,-141,9000,0.65
9200,-136,9200,0.65
9400,-127,9400,0.65
9600,-127,9600,0.65
9800,-136,9800,0.65
10000,-141,10000,0.65
10200,-136,10200,0.65
10400,-127,10400,0.65
10600,-125,10600,0.65
10800,-131,10800,0.65
11000,-137,11000,0.65
11200,-140,11200,0.65
11400,-136,11400,0.65
11600,-138,11600,0.65
11800,-141,11800,0.65
12000,-141,12000,0.65
12200,-140,12200,0.65
12400,-139,12400,0.65
12600,-144,12600,0.65
12800,-146,12800,0.65
13000,-145,13000,0.65
13200,-141,13200,0.65
13400,-138,13400,0.65
13600,-141,13600,0.65
13800,-145,13800,0.65
14000,-145,14000,0.65
14200,-142,14200,0.65
14400,-139,14400,0.65
14600,-141,14600,0.65
14800,-146,14800,0.65
15000,-147,15000,0.65
15200,-146,15200,0.65
15400,-146,15400,0.65
15600,-147,15600,0.65
15800,-149,15800,0.65
16000,-149,16000,0.65
16200,-147,16200,0.65
16400,-143,16400,0.65
16600,-149,16600,0.65
16800,-151,16800,0.65
17000,-149,17000,0.65
17200,-147,17200,0.65
17400,-145,17400,0.65
17600,-152,17600,0.65
17800,-153,17800,0.65
18000,-153,18000,0.65
18200,-149,18200,0.65
18400,-143,18400,0.65
18600,-145,18600,0.65
18800,-147,18800,0.65
19000,-150,19000,0.65
19200,-153,19200,0.65
19400,-151,19400,0.65
19600,-152,19600,0.65
19800,-151,19800,0.65
20000,-152,20000,0.65
20200,-153,20200,0.65
20400,-152,20400,0.65
20600,-155,20600,0.65
20800,-152,20800,0.65
21000,-149,21000,0.65
21200,-148,21200,0.65
21400,-150,21400,0.65
21600,-151,21600,0.65
21800,-151,21800,0.65
22000,-150,22000,0.65
22200,-150,22200,0.65
22400,-147,22400,0.65
22600,-148,22600,0.65
22800,-149,22800,0.65
23000,-148,23000,0.65
23200,-147,23200,0.65
23400,-147,23400,0.65
23600,-148,23600,0.65
23800,-150,23800,0.65
24000,-147,24000,0.65
24200,-147,24200,0.65
24400,-146,24400,0.65
24600,-145,24600,0.65
24800,-147,24800,0.65
25000,-144,25000,0.65
25200,-143,25200,0.65
25400,-149,25400,0.65
25600,-147,25600,0.65
25800,-147,25800,0.65
26000,-143,26000,0.65
26200,-139,26200,0.65
26400,-140,26400,0.65
26600,-140,26600,0.65
26800,-145,26800,0.65
27000,-143,27000,0.65
27200,-143,27200,0.65
27400,-141,27400,0.65
27600,-142,27600,0.65
27800,-141,27800,0.65
28000,-141,28000,0.65
28200,-141,28200,0.65
28400,-141,28400,0.65
28600,-139,28600,0.65
28800,-138,28800,0.65
29000,-137,29000,0.65
29200,-137,29200,0.65
29400,-137,29400,0.65
29600,-135,29600,0.65
29800,-137,29800,0.65
30000,-133,30000,0.65
30200,-134,30200,0.65
30400,-135,30400,0.65
30600,-136,30600,0.65
30800,-133,30800,0.65
31000,-132,31000,0.65
31200,-130,31200,0.65
31400,-131,31400,0.65
31600,-130,31600,0.65
31800,-137,31800,0.65
32000,-131,32000,0.65
32200,-132,32200,0.65
32400,-127,32400,0.65
32600,-126,32600,0.65
32800,-126,32800,0.65
33000,-123,33000,0.65
33200,-125,33200,0.65
33400,-123,33400,0.65
33600,-121,33600,0.65
33800,-121,33800,0.65
34000,-117,34000,0.65
34200,-118,34200,0.65
34400,-121,34400,0.65
34600,-121,34600,0.65
34800,-122,34800,0.65
35000,-120,35000,0.65
35200,-117,35200,0.65
35400,-118,35400,0.65
35600,-117,35600,0.65
35800,-116,35800,0.65
36000,-112,36000,0.65
36200,-112,36200,0.65
36400,-110,36400,0.65
36600,-110,36600,0.65
36800,-112,36800,0.65
37000,-110,37000,0.65
37200,-113,37200,0.65
37400,-113,37400,0.65
37600,-112,37600,0.65
37800,-107,37800,0.65
38000,-105,38000,0.65
38200,-104,38200,0.65
38400,-103,38400,0.65
38600,-102,38600,0.65
38800,-103,38800,0.65
39000,-104,39000,0.65
39200,-105,39200,0.65
39400,-108,39400,0.65
39600,-112,39600,0.65
39800,-114,39800,0.65
40000,-110,40000,0.65
40200,-108,40200,0.65
40400,-102,40400,0.65
40600,-101,40600,0.65
40800,-98,40800,0.65
41000,-98,41000,0.65
41200,-97,41200,0.65
41400,-93,41400,0.65
41600,-90,41600,0.65
41800,-86,41800,0.65
42000,-85,42000,0.65
42200,-85,42200,0.65
42400,-87,42400,0.65
42600,-85,42600,0.65
42800,-84,42800,0.65
43000,-83,43000,0.65
43200,-82,43200,0.65
43400,-80,43400,0.65
43600,-79,43600,0.65
43800,-77,43800,0.65
44000,-72,44000,0.65
44200,-70,44200,0.65
44400,-71,44400,0.65
44600,-69,44600,0.65
44800,-69,44800,0.65
45000,-62,45000,0.65
45200,-66,45200,0.65
45400,-64,45400,0.65
45600,-64,45600,0.65
45800,-61,45800,0.65
46000,-61,46000,0.65
46200,-59,46200,0.65
46400,-59,46400,0.65
46600,-58,46600,0.65
46800,-56,46800,0.65
47000,-54,47000,0.65
47200,-51,47200,0.65
47400,-51,47400,0.65
47600,-51,47600,0.65
47800,-52,47800,0.65
48000,-49,48000,0.65
48200,-48,48200,0.65
48400,-45,48400,0.65
48600,-43,48600,0.65
48800,-42,48800,0.65
49000,-41,49000,0.65
49200,-39,49200,0.65
49400,-35,49400,0.65
49600,-34,49600,0.65
49800,-34,49800,0.65
50000,-31,50000,0.65
50200,-31,50200,0.65
50400,-29,50400,0.65
50600,-29,50600,0.65
50800,-24,50800,0.65
51000,-22,51000,0.65
51200,-20,51200,0.65
51400,-22,51400,0.65
51600,-20,51600,0.65
51800,-17,51800,0.65
52000,-13,52000,0.65
52200,-14,52200,0.65
52400,-12,52400,0.65
52600,-8,52600,0.65
52800,-5,52800,0.65
53000,-3,53000,0.65
