#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4h2po4_3,20.0,1000,200,450,4,1,1,1.0152170736012073e-08,mgL
freq, real, imaginary, concentration
1000,-16058,1000,0.625
1200,-8434,1200,0.625
1400,-1613,1400,0.625
1600,1228,1600,0.625
1800,744,1800,0.625
2000,-490,2000,0.625
2200,-795,2200,0.625
2400,-321,2400,0.625
2600,90,2600,0.625
2800,8,2800,0.625
3000,-265,3000,0.625
3200,-341,3200,0.625
3400,-206,3400,0.625
3600,-92,3600,0.625
3800,-139,3800,0.625
4000,-237,4000,0.625
4200,-254,4200,0.625
4400,-185,4400,0.625
4600,-145,4600,0.625
4800,-180,4800,0.625
5000,-232,5000,0.625
5200,-229,5200,0.625
5400,-184,5400,0.625
5600,-162,5600,0.625
5800,-185,5800,0.625
6000,-217,6000,0.625
6200,-217,6200,0.625
6400,-188,6400,0.625
6600,-172,6600,0.625
6800,-182,6800,0.625
7000,-207,7000,0.625
7200,-212,7200,0.625
7400,-202,7400,0.625
7600,-200,7600,0.625
7800,-210,7800,0.625
8000,-221,8000,0.625
8200,-220,8200,0.625
8400,-210,8400,0.625
8600,-212,8600,0.625
8800,-223,8800,0.625
9000,-228,9000,0.625
9200,-226,9200,0.625
9400,-218,9400,0.625
9600,-219,9600,0.625
9800,-229,9800,0.625
10000,-237,10000,0.625
10200,-233,10200,0.625
10400,-222,10400,0.625
10600,-222,10600,0.625
10800,-230,10800,0.625
11000,-238,11000,0.625
11200,-239,11200,0.625
11400,-238,11400,0.625
11600,-240,11600,0.625
11800,-243,11800,0.625
12000,-245,12000,0.625
12200,-246,12200,0.625
12400,-246,12400,0.625
12600,-251,12600,0.625
12800,-255,12800,0.625
13000,-254,13000,0.625
13200,-252,13200,0.625
13400,-249,13400,0.625
13600,-252,13600,0.625
13800,-259,13800,0.625
14000,-259,14000,0.625
14200,-256,14200,0.625
14400,-253,14400,0.625
14600,-255,14600,0.625
14800,-263,14800,0.625
15000,-262,15000,0.625
15200,-260,15200,0.625
15400,-262,15400,0.625
15600,-263,15600,0.625
15800,-264,15800,0.625
16000,-267,16000,0.625
16200,-264,16200,0.625
16400,-260,16400,0.625
16600,-269,16600,0.625
16800,-270,16800,0.625
17000,-268,17000,0.625
17200,-267,17200,0.625
17400,-265,17400,0.625
17600,-268,17600,0.625
17800,-271,17800,0.625
18000,-265,18000,0.625
18200,-267,18200,0.625
18400,-261,18400,0.625
18600,-265,18600,0.625
18800,-269,18800,0.625
19000,-272,19000,0.625
19200,-273,19200,0.625
19400,-272,19400,0.625
19600,-272,19600,0.625
19800,-271,19800,0.625
20000,-272,20000,0.625
20200,-273,20200,0.625
20400,-271,20400,0.625
20600,-274,20600,0.625
20800,-273,20800,0.625
21000,-271,21000,0.625
21200,-270,21200,0.625
21400,-270,21400,0.625
21600,-272,21600,0.625
21800,-272,21800,0.625
22000,-272,22000,0.625
22200,-271,22200,0.625
22400,-269,22400,0.625
22600,-271,22600,0.625
22800,-272,22800,0.625
23000,-271,23000,0.625
23200,-270,23200,0.625
23400,-271,23400,0.625
23600,-270,23600,0.625
23800,-270,23800,0.625
24000,-268,24000,0.625
24200,-267,24200,0.625
24400,-267,24400,0.625
24600,-270,24600,0.625
24800,-267,24800,0.625
25000,-267,25000,0.625
25200,-265,25200,0.625
25400,-265,25400,0.625
25600,-266,25600,0.625
25800,-265,25800,0.625
26000,-262,26000,0.625
26200,-259,26200,0.625
26400,-258,26400,0.625
26600,-262,26600,0.625
26800,-262,26800,0.625
27000,-263,27000,0.625
27200,-262,27200,0.625
27400,-257,27400,0.625
27600,-259,27600,0.625
27800,-257,27800,0.625
28000,-258,28000,0.625
28200,-257,28200,0.625
28400,-257,28400,0.625
28600,-256,28600,0.625
28800,-254,28800,0.625
29000,-254,29000,0.625
29200,-252,29200,0.625
29400,-254,29400,0.625
29600,-253,29600,0.625
29800,-250,29800,0.625
30000,-249,30000,0.625
30200,-246,30200,0.625
30400,-246,30400,0.625
30600,-246,30600,0.625
30800,-246,30800,0.625
31000,-245,31000,0.625
31200,-244,31200,0.625
31400,-242,31400,0.625
31600,-241,31600,0.625
31800,-239,31800,0.625
32000,-238,32000,0.625
32200,-239,32200,0.625
32400,-239,32400,0.625
32600,-237,32600,0.625
32800,-236,32800,0.625
33000,-233,33000,0.625
33200,-232,33200,0.625
33400,-233,33400,0.625
33600,-232,33600,0.625
33800,-226,33800,0.625
34000,-224,34000,0.625
34200,-225,34200,0.625
34400,-224,34400,0.625
34600,-228,34600,0.625
34800,-226,34800,0.625
35000,-223,35000,0.625
35200,-220,35200,0.625
35400,-220,35400,0.625
35600,-219,35600,0.625
35800,-215,35800,0.625
36000,-214,36000,0.625
36200,-213,36200,0.625
