#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4no3_t_10ppm,20.0,1000,200,450,4,1,1,1.0152170736012073e-08,mgL
freq, real, imaginary, concentration
58,12600,84.956,85.856,85.806,86.095,86.286,86.458,86.657,86.952,86.399,86.598
59,12800,84.946,85.836,85.782,86.067,86.263,86.450,86.638,86.928,86.370,86.566
60,13000,84.901,85.785,85.733,86.027,86.215,86.395,86.597,86.896,86.334,86.540
61,13200,84.870,85.728,85.676,85.983,86.156,86.346,86.540,86.839,86.285,86.501
62,13400,84.819,85.690,85.639,85.932,86.128,86.315,86.520,86.814,86.255,86.468
63,13600,84.803,85.673,85.623,85.920,86.113,86.294,86.495,86.797,86.239,86.445
64,13800,84.787,85.665,85.612,85.905,86.099,86.285,86.492,86.786,86.231,86.430
65,14000,84.752,85.634,85.577,85.874,86.073,86.265,86.464,86.758,86.195,86.399
66,14200,84.737,85.595,85.534,85.835,86.032,86.217,86.422,86.719,86.156,86.361
67,14400,84.684,85.545,85.501,85.794,86.000,86.182,86.392,86.689,86.119,86.329
68,14600,84.674,85.535,85.477,85.773,85.980,86.160,86.367,86.672,86.097,86.308
69,14800,84.654,85.511,85.445,85.765,85.980,86.142,86.377,86.674,86.096,86.300
70,15000,84.653,85.498,85.453,85.741,85.954,86.140,86.346,86.650,86.068,86.281
71,15200,84.637,85.486,85.411,85.722,85.925,86.112,86.326,86.626,86.060,86.255
72,15400,84.610,85.463,85.393,85.700,85.900,86.092,86.307,86.618,86.037,86.251
73,15600,84.584,85.444,85.379,85.685,85.879,86.073,86.285,86.603,86.021,86.233
74,15800,84.584,85.426,85.361,85.671,85.866,86.061,86.274,86.581,86.007,86.223
75,16000,84.566,85.415,85.348,85.661,85.860,86.046,86.263,86.577,85.989,86.206
76,16200,84.528,85.377,85.314,85.623,85.823,86.024,86.225,86.542,85.971,86.175
77,16400,84.511,85.343,85.277,85.589,85.791,85.982,86.198,86.518,85.930,86.156
78,16600,84.522,85.361,85.285,85.594,85.804,85.996,86.209,86.525,85.941,86.157
79,16800,84.502,85.345,85.267,85.579,85.785,85.979,86.196,86.512,85.925,86.152
80,17000,84.486,85.326,85.249,85.560,85.768,85.959,86.170,86.489,85.912,86.123
81,17200,84.474,85.304,85.234,85.539,85.751,85.939,86.158,86.470,85.886,86.105
82,17400,84.459,85.279,85.200,85.518,85.724,85.920,86.137,86.452,85.868,86.081
83,17600,84.447,85.281,85.200,85.513,85.721,85.912,86.132,86.453,85.866,86.087
84,17800,84.446,85.269,85.196,85.506,85.714,85.909,86.130,86.448,85.858,86.086
85,18000,84.431,85.258,85.179,85.477,85.711,85.888,86.107,86.417,85.850,86.075
86,18200,84.420,85.220,85.145,85.457,85.673,85.867,86.080,86.410,85.814,86.043
87,18400,84.382,85.194,85.117,85.432,85.643,85.838,86.064,86.383,85.791,86.014
88,18600,84.375,85.190,85.111,85.420,85.631,85.830,86.054,86.376,85.781,86.011
