#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_acid_5.4,20.5,10000,300,300,4,1,1,1.0092016396570935e-08
freq, real, imaginary, concentration
,freq,2.3
0,10000,4850.916675916005
1,10300,4837.7550720985555
2,10600,4841.540288693164
3,10900,4842.55475629783
4,11200,4841.919456454805
5,11500,4841.289618709415
6,11800,4841.856234446458
7,12100,4841.399660909792
8,12400,4841.99210383725
9,12700,4842.076605984665
10,13000,4840.905561292707
11,13300,4840.651420224338
12,13600,4841.759420610894
13,13900,4841.516431847096
14,14200,4840.432669719534
15,14500,4841.546310753174
16,14800,4841.7902230694945
17,15100,4841.833777558548
18,15400,4842.221045122565
19,15700,4842.133228425281
20,16000,4842.509354987279
21,16300,4842.460618382046
22,16600,4842.757420974855
23,16900,4842.086202868692
24,17200,4842.046555387985
25,17500,4842.453835390258
26,17800,4842.608729482731
27,18100,4841.796465711092
28,18400,4842.1304533359535
29,18700,4844.0135111189975
30,19000,4844.09519596407
31,19300,4843.546235398198
32,19600,4844.349879856304
33,19900,4843.115198404374
34,20200,4843.832999489846
35,20500,4843.836645638943
36,20800,4843.825950291603
37,21100,4843.77107408802
38,21400,4844.252968465278
39,21700,4844.28888984074
40,22000,4844.272437114795
41,22300,4844.206981008506
42,22600,4844.703140430108
43,22900,4844.956489713669
44,23200,4844.8892163565415
45,23500,4845.252842057745
46,23800,4847.526423772104
47,24100,4845.352304450273
48,24400,4845.698124405719
49,24700,4845.708217968118
50,25000,4846.923150789426
51,25300,4846.199413782537
52,25600,4846.208090445101
53,25900,4845.576189652998
54,26200,4846.320242096878
55,26500,4847.509410171593
56,26800,4848.02584955639
57,27100,4847.41214663074
58,27400,4847.526795022117
59,27700,4847.4860218389495
60,28000,4847.884156914025
61,28300,4847.712958645019
62,28600,4847.902886088813
63,28900,4848.234453945883
64,29200,4848.3698917688025
65,29500,4848.483998688316
66,29800,4848.388643985528
67,30100,4848.826872866389
68,30400,4849.147574549118
69,30700,4850.06634722727
70,31000,4849.81565769813
71,31300,4850.670754088285
72,31600,4850.492850414875
73,31900,4850.654788394098
74,32200,4850.812493588076
75,32500,4850.437555541
76,32800,4851.019946450267
77,33100,4851.0372935241685
78,33400,4851.696335289666
79,33700,4850.889355234237
80,34000,4851.2870038788105
81,34300,4852.32586297484
82,34600,4852.65420177602
83,34900,4852.458286703154
84,35200,4852.82515006456
85,35500,4852.629272478024
86,35800,4853.338004380524
87,36100,4853.428475647403
88,36400,4853.872102591656
89,36700,4854.234819037437
90,37000,4854.11987460491
91,37300,4854.379760613414
92,37600,4854.400714780096
93,37900,4855.137475428563
94,38200,4855.267617354528
95,38500,4851.491534517583
96,38800,4856.23213840261
97,39100,4855.629824743592
98,39400,4856.822955270031
99,39700,4857.330355107342
100,40000,4857.008645768132
101,40300,4856.7474038987275
102,40600,4856.71789023192
103,40900,4857.763932276042
104,41200,4857.926582111777
105,41500,4857.758287316492
106,41800,4857.943857428643
107,42100,4858.901282124915
108,42400,4859.560606741534
109,42700,4859.450683135353
110,43000,4860.38986158517
111,43300,4859.8749967022495
112,43600,4859.594724899223
113,43900,4860.341506934895
114,44200,4860.49131748941
115,44500,4861.797620130684
116,44800,4861.315836229258
117,45100,4861.878645374403
118,45400,4858.318209008372
119,45700,4861.834120492048
120,46000,4862.783576639887
121,46300,4863.7284917965035
122,46600,4863.841811522713
123,46900,4863.951248161839
124,47200,4864.3497499497425
125,47500,4864.453951146432
126,47800,4864.628852112925
127,48100,4865.110947423553
128,48400,4864.644487194177
129,48700,4864.889884507665
130,49000,4866.230445713752
131,49300,4866.318887564756
132,49600,4866.547165056895
133,49900,4866.641910588117
134,50200,4867.581236598952
135,50500,4868.195835167511
136,50800,4867.64820865184
137,51100,4868.495638273495
138,51400,4868.670058758547
139,51700,4868.928203742612
140,52000,4869.246443732474
141,52300,4869.6271780251955
142,52600,4869.399807413958
143,52900,4870.5818317533785
144,53200,4870.476983280698
145,53500,4870.592305205113
146,53800,4871.43591646227
147,54100,4872.3791526327705
148,54400,4872.357257944716
149,54700,4872.723633744625
150,55000,4873.028546485631
151,55300,4873.806372043869
152,55600,4859.360225284378
153,55900,4873.730479285348
154,56200,4873.668184196989
155,56500,4874.77927826006
156,56800,4875.405631041816
157,57100,4875.537474610011
158,57400,4876.015057401784
159,57700,4875.531549092077
160,58000,4876.712670859979
161,58300,4877.190350984664
162,58600,4877.902199149239
163,58900,4877.419907823701
164,59200,4878.268834129056
165,59500,4878.851521344262
166,59800,4879.106362206408
167,60100,4879.175638886866
168,60400,4879.8192805568215
169,60700,4880.046610683643
170,61000,4880.103279501989
171,61300,4880.84099464677
172,61600,4881.4031500108895
173,61900,4882.39224799146
174,62200,4882.89741842759
175,62500,4912.520331363201
176,62800,4883.100619155359
177,63100,4884.048815389936
178,63400,4883.824478823342
179,63700,4884.530927691271
180,64000,4885.155377640069
181,64300,4885.533662614414
182,64600,4885.605761076675
183,64900,4886.025338760937
184,65200,4886.363050081291
185,65500,4886.972797306824
186,65800,4887.8100777467125
187,66100,4888.162802937487
188,66400,4887.981378619827
189,66700,4892.953736548771
190,67000,4889.003450570355
191,67300,4889.511771457432
192,67600,4890.086885077274
193,67900,4891.106417447145
194,68200,4890.760233315699
195,68500,4891.661028874366
196,68800,4892.086246869118
197,69100,4892.658577602755
198,69400,4892.865433192636
199,69700,4893.589437491113
200,70000,4893.818882649542
201,70300,4894.805479516253
202,70600,4894.807211446673
203,70900,4895.573555999728
204,71200,4895.549106554368
205,71500,4876.185091576377
206,71800,4896.880664586645
207,72100,4897.501129784043
208,72400,4897.799385801338
209,72700,4898.414143106424
210,73000,4898.51142055041
211,73300,4898.909257738252
212,73600,4899.967353853728
213,73900,4900.272208690547
214,74200,4901.120973037634
215,74500,4901.426690873493
216,74800,4901.405361678539
217,75100,4902.344685735775
218,75400,4902.560453113608
219,75700,4903.316967975362
220,76000,4903.50472244893
221,76300,4904.39449745434
222,76600,4904.587536644732
223,76900,4906.194391258065
224,77200,4905.886541837337
225,77500,4906.55272389202
226,77800,4906.983371836532
227,78100,4907.518026827261
228,78400,4908.239162561048
229,78700,4908.4403765736415
230,79000,4909.525572647316
