#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4cl_7,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
1000,-16473,1000,1.25
1200,-8735,1200,1.25
1400,-1915,1400,1.25
1600,982,1600,1.25
1800,532,1800,1.25
2000,-678,2000,1.25
2200,-950,2200,1.25
2400,-458,2400,1.25
2600,-21,2600,1.25
2800,-85,2800,1.25
3000,-343,3000,1.25
3200,-400,3200,1.25
3400,-251,3400,1.25
3600,-120,3600,1.25
3800,-155,3800,1.25
4000,-240,4000,1.25
4200,-242,4200,1.25
4400,-165,4400,1.25
4600,-109,4600,1.25
4800,-134,4800,1.25
5000,-172,5000,1.25
5200,-160,5200,1.25
5400,-105,5400,1.25
5600,-72,5600,1.25
5800,-86,5800,1.25
6000,-111,6000,1.25
6200,-100,6200,1.25
6400,-61,6400,1.25
6600,-35,6600,1.25
6800,-39,6800,1.25
7000,-53,7000,1.25
7200,-51,7200,1.25
7400,-31,7400,1.25
7600,-22,7600,1.25
7800,-24,7800,1.25
8000,-26,8000,1.25
8200,-15,8200,1.25
8400,0,8400,1.25
8600,7,8600,1.25
8800,3,8800,1.25
9000,6,9000,1.25
9200,15,9200,1.25
9400,30,9400,1.25
9600,36,9600,1.25
9800,33,9800,1.25
10000,32,10000,1.25
10200,44,10200,1.25
10400,60,10400,1.25
10600,70,10600,1.25
10800,68,10800,1.25
11000,66,11000,1.25
11200,70,11200,1.25
11400,77,11400,1.25
11600,82,11600,1.25
11800,85,11800,1.25
12000,89,12000,1.25
12200,96,12200,1.25
12400,102,12400,1.25
12600,102,12600,1.25
12800,106,12800,1.25
13000,111,13000,1.25
13200,121,13200,1.25
13400,128,13400,1.25
13600,130,13600,1.25
13800,132,13800,1.25
14000,137,14000,1.25
14200,144,14200,1.25
14400,153,14400,1.25
14600,158,14600,1.25
14800,155,14800,1.25
15000,162,15000,1.25
15200,168,15200,1.25
15400,172,15400,1.25
15600,177,15600,1.25
15800,181,15800,1.25
16000,183,16000,1.25
16200,192,16200,1.25
16400,200,16400,1.25
16600,198,16600,1.25
16800,202,16800,1.25
17000,208,17000,1.25
17200,215,17200,1.25
17400,221,17400,1.25
17600,222,17600,1.25
17800,225,17800,1.25
18000,226,18000,1.25
18200,242,18200,1.25
18400,248,18400,1.25
18600,252,18600,1.25
18800,252,18800,1.25
19000,256,19000,1.25
19200,258,19200,1.25
19400,261,19400,1.25
19600,268,19600,1.25
19800,274,19800,1.25
20000,278,20000,1.25
20200,282,20200,1.25
20400,287,20400,1.25
20600,289,20600,1.25
20800,295,20800,1.25
21000,304,21000,1.25
21200,308,21200,1.25
21400,313,21400,1.25
21600,316,21600,1.25
21800,319,21800,1.25
22000,326,22000,1.25
22200,335,22200,1.25
22400,337,22400,1.25
22600,340,22600,1.25
22800,345,22800,1.25
23000,348,23000,1.25
23200,352,23200,1.25
23400,358,23400,1.25
23600,363,23600,1.25
23800,367,23800,1.25
24000,375,24000,1.25
24200,379,24200,1.25
24400,384,24400,1.25
24600,388,24600,1.25
24800,392,24800,1.25
25000,397,25000,1.25
25200,403,25200,1.25
25400,410,25400,1.25
25600,411,25600,1.25
25800,416,25800,1.25
26000,425,26000,1.25
26200,433,26200,1.25
26400,438,26400,1.25
26600,441,26600,1.25
26800,442,26800,1.25
27000,448,27000,1.25
27200,453,27200,1.25
27400,458,27400,1.25
27600,463,27600,1.25
27800,469,27800,1.25
28000,474,28000,1.25
28200,479,28200,1.25
28400,482,28400,1.25
28600,490,28600,1.25
28800,495,28800,1.25
29000,502,29000,1.25
29200,506,29200,1.25
29400,510,29400,1.25
29600,514,29600,1.25
29800,522,29800,1.25
30000,529,30000,1.25
30200,533,30200,1.25
30400,537,30400,1.25
30600,544,30600,1.25
30800,548,30800,1.25
31000,555,31000,1.25
31200,558,31200,1.25
31400,564,31400,1.25
31600,569,31600,1.25
31800,574,31800,1.25
32000,580,32000,1.25
32200,585,32200,1.25
32400,591,32400,1.25
32600,597,32600,1.25
32800,602,32800,1.25
33000,609,33000,1.25
33200,613,33200,1.25
33400,618,33400,1.25
33600,625,33600,1.25
33800,632,33800,1.25
34000,640,34000,1.25
34200,647,34200,1.25
34400,649,34400,1.25
34600,654,34600,1.25
34800,657,34800,1.25
35000,664,35000,1.25
35200,670,35200,1.25
35400,676,35400,1.25
35600,682,35600,1.25
35800,688,35800,1.25
36000,696,36000,1.25
36200,701,36200,1.25
