#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4cl_13,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
10,32317,10,0.625
20,31769,20,0.625
30,31078,30,0.625
40,30330,40,0.625
50,29591,50,0.625
60,28869,60,0.625
70,28181,70,0.625
80,27504,80,0.625
90,26859,90,0.625
100,26251,100,0.625
110,25649,110,0.625
120,25061,120,0.625
130,24475,130,0.625
140,23896,140,0.625
150,23318,150,0.625
160,22741,160,0.625
170,22158,170,0.625
180,21565,180,0.625
190,20965,190,0.625
200,20364,200,0.625
210,19746,210,0.625
220,19113,220,0.625
230,18465,230,0.625
240,17808,240,0.625
250,17151,250,0.625
260,16477,260,0.625
270,15798,270,0.625
280,15102,280,0.625
290,14405,290,0.625
300,13698,300,0.625
310,12973,310,0.625
320,12241,320,0.625
330,11513,330,0.625
340,10769,340,0.625
350,10025,350,0.625
360,9270,360,0.625
370,8507,370,0.625
380,7745,380,0.625
390,6977,390,0.625
400,6200,400,0.625
410,5422,410,0.625
420,4642,420,0.625
430,3857,430,0.625
440,3075,440,0.625
450,2290,450,0.625
460,1501,460,0.625
470,721,470,0.625
480,-66,480,0.625
490,-862,490,0.625
500,-1627,500,0.625
510,-2412,510,0.625
520,-3177,520,0.625
530,-3937,530,0.625
540,-4689,540,0.625
550,-5437,550,0.625
560,-6172,560,0.625
570,-6906,570,0.625
580,-7606,580,0.625
590,-8309,590,0.625
600,-9003,600,0.625
610,-9661,610,0.625
620,-10316,620,0.625
630,-10950,630,0.625
640,-11566,640,0.625
650,-12161,650,0.625
660,-12737,660,0.625
670,-13289,670,0.625
680,-13822,680,0.625
690,-14325,690,0.625
700,-14804,700,0.625
710,-15262,710,0.625
720,-15693,720,0.625
730,-16097,730,0.625
740,-16469,740,0.625
750,-16820,750,0.625
760,-17136,760,0.625
770,-17428,770,0.625
780,-17682,780,0.625
790,-17911,790,0.625
800,-18117,800,0.625
810,-18288,810,0.625
820,-18431,820,0.625
830,-18536,830,0.625
840,-18625,840,0.625
850,-18681,850,0.625
860,-18714,860,0.625
870,-18710,870,0.625
880,-18680,880,0.625
890,-18634,890,0.625
900,-18546,900,0.625
910,-18441,910,0.625
920,-18310,920,0.625
930,-18157,930,0.625
940,-17977,940,0.625
950,-17779,950,0.625
960,-17558,960,0.625
970,-17319,970,0.625
980,-17064,980,0.625
990,-16789,990,0.625
1000,-16492,1000,0.625
10,32315,10,1.25
20,31797,20,1.25
30,31149,30,1.25
40,30472,40,1.25
50,29786,50,1.25
60,29115,60,1.25
70,28458,70,1.25
80,27829,80,1.25
90,27212,90,1.25
100,26600,100,1.25
110,26013,110,1.25
120,25435,120,1.25
130,24852,130,1.25
140,24279,140,1.25
150,23696,150,1.25
160,23107,160,1.25
170,22518,170,1.25
180,21918,180,1.25
190,21307,190,1.25
