,,,2.5mgL,10000,1000,100
10000,13,-7
11000,16,-10
12000,5,-1
13000,5,1
14000,10,-5
15000,8,-4
16000,7,-4
17000,7,-1
18000,6,-3
19000,8,-4
20000,6,5
21000,8,2
22000,8,-1
23000,6,-1
24000,7,2
25000,10,0
26000,7,1
27000,9,-2
28000,10,7
29000,9,2
30000,10,3
31000,8,3
32000,10,6
33000,11,4
34000,8,0
35000,10,4
36000,14,6
37000,11,8
38000,13,4
39000,11,7
40000,14,6
41000,12,6
42000,12,6
43000,11,11
44000,19,9
45000,14,6
46000,16,9
47000,14,10
48000,16,9
49000,14,11
50000,16,11
51000,18,10
52000,18,10
53000,14,13
54000,14,12
55000,16,11
56000,19,12
57000,14,14
58000,16,12
59000,18,13
60000,18,14
61000,19,17
62000,17,17
63000,20,13
64000,19,14
65000,18,15
66000,18,17
67000,20,17
68000,19,16
69000,16,20
70000,19,19
71000,17,22
72000,19,17
73000,18,20
74000,21,20
75000,17,19
76000,16,22
77000,18,22
78000,18,23
79000,18,22
80000,17,23
81000,17,23
82000,16,24
83000,17,25
84000,18,24
85000,18,25
86000,20,29
87000,17,27
88000,17,27
89000,18,28
90000,17,29
91000,12,26
92000,16,28
93000,16,28
94000,17,28
95000,15,29
96000,18,32
97000,16,32
98000,14,31
99000,14,31
100000,15,32
101000,17,32
102000,16,34
103000,14,36
104000,17,35
105000,15,36
106000,17,39
107000,14,38
108000,14,36
