#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#large_nh4no3_6,20.0,1000,200,450,4,1,1,1.0167992056591344e-08
freq, real, imaginary, concentration
,freq,5.0,10.0,20.0
0,1000,3524.4650222594664,3490.3210056002613,3477.17891052266
1,1200,3428.120137520625,3383.499018180255,3365.0545690281724
2,1400,3726.557377254394,3667.23344142309,3642.255931215941
3,1600,4298.043374326779,4218.181930813183,4184.5407580617075
4,1800,4861.814610472267,4760.051166675416,4717.057063647188
5,2000,4943.800293415705,4842.387007145364,4799.481670219065
6,2200,4809.714776908425,4713.431314267708,4673.312898613026
7,2400,4757.497620197692,4663.024155390218,4623.489781733703
8,2600,4837.290573633984,4738.924431782691,4697.817802567851
9,2800,4945.437688290445,4842.518958431016,4798.942256252601
10,3000,4954.565304443044,4853.152238906503,4810.154786986112
11,3200,4917.225986648213,4816.823508597809,4775.119473688863
12,3400,4900.25700111328,4800.638783653116,4758.651057084127
13,3600,4924.666879791615,4824.039718147972,4780.542668346155
14,3800,4957.725945225182,4855.004911984461,4812.065752710239
15,4000,4954.398023176171,4853.800802071253,4810.934146738073
16,4200,4938.8595746520305,4837.798423056603,4795.472719313495
17,4400,4931.15841361126,4830.751839040486,4788.238521375479
18,4600,4945.824620443167,4844.6901097922,4801.565870362108
19,4800,4959.537792237129,4858.261840026254,4815.249212283952
20,5000,4954.035994710407,4852.624558977609,4810.072252166756
21,5200,4944.272081863829,4843.532740855673,4800.887011725618
22,5400,4941.373250022656,4841.362804224313,4798.70662257964
23,5600,4950.625026358881,4849.175381511764,4806.404833133211
24,5800,4959.2821797643255,4857.5531953744385,4814.731553817947
25,6000,4955.7247497977005,4854.9475539405275,4812.685136287828
26,6200,4947.555999380126,4848.761714043748,4805.132162801254
27,6400,4945.7007212332455,4845.107810072679,4802.577403345803
28,6600,4952.549457961662,4851.021796688012,4808.946863541248
29,6800,4957.606812049903,4856.866975394535,4814.612966856379
30,7000,4957.446578781261,4856.823865698142,4814.037061406566
31,7200,4955.166199429795,4854.295935166448,4811.820647540136
32,7400,4952.017667772757,4852.594504198231,4810.257371733308
33,7600,4955.42059094523,4855.523350310277,4813.099113790834
34,7800,4957.15663637219,4856.669298534469,4814.469213406837
35,8000,4954.785169783892,4855.754870862969,4813.414844007055
36,8200,4949.435297497088,4853.753931701956,4809.55917719965
37,8400,4951.905806452355,4852.9266972398045,4810.662124820329
38,8600,4955.573556697708,4855.7939274268665,4813.77106333541
39,8800,4955.207175932081,4856.599304007007,4814.1737913993875
40,9000,4953.841680879229,4854.07477469059,4811.882474673976
41,9200,4952.603996546057,4853.28191064874,4811.259647161929
42,9400,4952.342039409621,4853.072274725456,4811.251235808868
43,9600,4954.603141228319,4855.312636866785,4813.3059811976445
44,9800,4953.387610635532,4855.815950796527,4813.638934174456
45,10000,4952.304367417021,4855.267018444912,4812.59266409682
46,10200,4950.4391724652,4850.059491727974,4809.2782053989495
47,10400,4950.883662334016,4852.337129855735,4810.473166334917
48,10600,4953.549863432768,4854.502364693205,4813.227820595789
49,10800,4954.432102970909,4855.51800077255,4813.717189765495
50,11000,4954.09956426705,4855.013850699357,4813.987486901458
51,11200,4953.619333414387,4855.386853864134,4813.257928030716
52,11400,4953.240350369157,4854.961751286832,4812.809718263503
53,11600,4953.661339791375,4855.081605515712,4813.553066143709
54,11800,4953.3039269958845,4854.840184626407,4813.814783963607
55,12000,4952.876603443341,4854.583854481063,4813.098791013671
56,12200,4949.582920684076,4855.371753390852,4811.7790660294895
57,12400,4952.258107386153,4854.973020519131,4813.64537460616
58,12600,4953.221453756806,4854.762911049139,4813.484158253741
59,12800,4952.085993533944,4854.216612157562,4812.621676327175
60,13000,4951.2705879716505,4853.670397162218,4811.849640051183
61,13200,4949.981196854247,4852.8167207452725,4811.682286646216
62,13400,4950.767781730881,4853.670533112183,4812.753462416988
63,13600,4950.7738098558875,4854.1711487883895,4812.684565811186
64,13800,4950.447350524478,4853.998791013484,4813.033960231494
65,14000,4949.840559549115,4852.702604774358,4811.671713542893
66,14200,4948.991103591341,4851.975103162436,4811.617397914759
67,14400,4949.61235037385,4852.676961246386,4812.066443930405
68,14600,4950.088707964101,4853.699715331977,4813.483374178313
69,14800,4951.495211082248,4853.681651493588,4812.703789257043
70,15000,4950.531272046738,4853.258580314028,4812.743654439183
71,15200,4949.107492388955,4852.577486399592,4812.602782304664
72,15400,4948.606685397856,4852.382110562625,4812.754107832437
73,15600,4947.90607645894,4851.825408832838,4812.150308427331
74,15800,4948.655317741768,4852.129937090098,4812.757190847312
