#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4cl_11,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
,freq,0.625,1.25,2.5,5.0,10.0
0,10,14531.386378955467,14540.816696487234,14545.325405329779,14543.976631261285,14552.536878860323
1,20,14685.504638418453,14741.32219392793,14793.326353346776,14799.86001435798,14795.213455896414
2,30,14856.259814933905,14985.127428820939,15161.24918593483,15227.826436110756,15255.057427611819
3,40,15021.111618437577,15240.455215628012,15608.014062564405,15805.666227319383,15986.38421229219
4,50,15183.464968759426,15492.97698365085,16089.15762080079,16498.17496843065,17015.638990636613
5,60,15337.461426771024,15735.18346023221,16588.5511784081,17276.95632321841,18389.34776611837
6,70,15480.911877102955,15963.132463172959,17079.667966025085,18103.518030364707,20141.967994416846
7,80,15617.706513958183,16180.168763969637,17554.59168046084,18964.99162232667,22366.75094859468
8,90,15740.089199177017,16377.274592756978,18012.30607187713,19841.35191363919,25129.157598106118
9,100,15855.741097760734,16563.86370418594,18437.860365073284,20702.88079723141,28540.352761181482
10,110,15962.475278017251,16740.678740168427,18835.855074458308,21556.419809593594,32753.498462752887
11,120,16067.228817010458,16901.986886874638,19208.178996714618,22384.814245252786,38048.185651317304
12,130,16161.070082826545,17048.542022697722,19555.533641476468,23178.783040237544,44624.99700992737
13,140,16249.21113351187,17183.028350108525,19876.65233881068,23947.292656143345,53080.78254126131
14,150,16336.833341952612,17315.89637765127,20180.250797224497,24676.02316073201,64285.095398938945
15,160,16422.104581204327,17442.21854352069,20460.890908038033,25367.566680864053,79376.07879430245
16,170,16504.438760926627,17562.391719458352,20723.14576335205,26032.802463511132,100647.27094132938
17,180,16583.04125799921,17675.647611346496,20975.503460462533,26659.291211138057,132803.10575694803
18,190,16662.809061683725,17786.521891969653,21210.279640618217,27262.833855209108,185101.37541607497
19,200,16749.40230278263,17897.180102509148,21445.11064355886,27826.34725392066,283261.98458913056
20,210,16821.431733069214,18003.766525445866,21649.996066085332,28363.675596216934,436430.26494891226
21,220,16903.164775544352,18108.566473175895,21853.56342386299,28876.66422264861,586346.8723362727
22,230,16982.406431094973,18213.26653009659,22052.183404670235,29364.687824019296,714810.9933311695
23,240,17060.68449229229,18311.384286650264,22241.606505181833,29841.354642449613,811415.2556135101
24,250,17147.36683283973,18421.513879229307,22424.44435417866,30251.371511788457,873392.0421153633
25,260,17225.650261575258,18516.326627050326,22594.30998799603,30667.629266030905,897133.1356137029
26,270,17308.30926591451,18617.92531513646,22759.25548386058,31042.78645880106,890808.9855175772
27,280,17390.725266843587,18716.176241503028,22924.822566727828,31394.38721588066,858775.0259115647
28,290,17474.18615160194,18822.11597755149,23077.57701355114,31709.324113548526,808959.2882460919
29,300,17552.63289719737,18908.86953116196,23215.32760320279,32030.400874372324,749501.5349996483
30,310,17640.376609682226,19010.890400955268,23361.62201386012,32292.31109622812,682380.7748037627
31,320,17728.87989747605,19111.293110078055,23498.216256449836,32549.21121055484,613982.3351317489
32,330,17813.21638098325,19206.359912374173,23631.510762027414,32762.9989144634,550339.2659826415
33,340,17899.070408062777,19302.175590930532,23757.69773333062,32954.750485617726,489000.4061282254
34,350,17986.404963116915,19396.61269209397,23875.755267476296,33118.74394471202,432842.3677152231
35,360,18073.88553273674,19491.881359600207,23994.648240186558,33268.95421754686,382277.6279917658
36,370,18165.426317397083,19585.999937930115,24094.672205537267,33364.366707205205,338128.77297201933
37,380,18255.62821586022,19679.99648560439,24193.081038320543,33455.34991012136,298148.839032146
38,390,18347.01984230598,19773.040357815433,24284.93614540195,33490.52524638275,263603.3164866865
39,400,18434.595392320618,19864.05394107217,24369.72375854423,33534.97723530323,233196.7336501416
40,410,18532.24561329274,19958.78792247707,24444.966253151055,33510.46792277969,207329.63923402282
41,420,18621.50535148689,20047.288989432698,24508.367580042297,33458.82492257163,184792.96277432982
42,430,18717.309964161243,20139.868557958744,24574.890732940174,33404.99798245131,165098.12662661794
43,440,18813.72702570721,20231.2620378903,24633.273966213645,33334.61405558882,148062.02815214073
44,450,18912.959054511877,20322.054112932106,24682.57875081741,33218.75774501123,133359.96957665906
45,460,19009.640023035387,20413.291129072204,24731.594361425876,33079.89376465477,120471.3084622954
