#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4cl_11,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
710,-15542,710,2.5
720,-15987,720,2.5
730,-16416,730,2.5
740,-16809,740,2.5
750,-17181,750,2.5
760,-17521,760,2.5
770,-17830,770,2.5
780,-18111,780,2.5
790,-18361,790,2.5
800,-18580,800,2.5
810,-18765,810,2.5
820,-18923,820,2.5
830,-19057,830,2.5
840,-19148,840,2.5
850,-19212,850,2.5
860,-19245,860,2.5
870,-19257,870,2.5
880,-19233,880,2.5
890,-19184,890,2.5
900,-19105,900,2.5
910,-18997,910,2.5
920,-18866,920,2.5
930,-18713,930,2.5
940,-18529,940,2.5
950,-18326,950,2.5
960,-18101,960,2.5
970,-17854,970,2.5
980,-17592,980,2.5
990,-17306,990,2.5
1000,-17005,1000,2.5
10,32322,10,5.0
20,31715,20,5.0
30,30745,30,5.0
40,29514,40,5.0
50,28143,50,5.0
60,26720,60,5.0
70,25326,70,5.0
80,23984,80,5.0
90,22718,90,5.0
100,21552,100,5.0
110,20466,110,5.0
120,19464,120,5.0
130,18543,130,5.0
140,17684,140,5.0
150,16888,150,5.0
160,16145,160,5.0
170,15442,170,5.0
180,14780,180,5.0
190,14145,190,5.0
200,13543,200,5.0
210,12961,210,5.0
220,12397,220,5.0
230,11848,230,5.0
240,11311,240,5.0
250,10797,250,5.0
260,10279,260,5.0
270,9774,270,5.0
280,9274,280,5.0
290,8780,290,5.0
300,8280,300,5.0
310,7788,310,5.0
320,7289,320,5.0
330,6791,330,5.0
340,6289,340,5.0
350,5785,350,5.0
360,5269,360,5.0
370,4755,370,5.0
380,4228,380,5.0
390,3696,390,5.0
400,3155,400,5.0
410,2599,410,5.0
420,2044,420,5.0
430,1471,430,5.0
440,885,440,5.0
450,291,450,5.0
460,-312,460,5.0
470,-929,470,5.0
480,-1552,480,5.0
490,-2186,490,5.0
500,-2827,500,5.0
510,-3479,510,5.0
520,-4141,520,5.0
530,-4807,530,5.0
540,-5482,540,5.0
550,-6159,550,5.0
560,-6837,560,5.0
570,-7511,570,5.0
580,-8196,580,5.0
590,-8877,590,5.0
600,-9555,600,5.0
610,-10213,610,5.0
620,-10877,620,5.0
630,-11527,630,5.0
640,-12169,640,5.0
650,-12793,650,5.0
