#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4cl_small_6,20.0,1000,20,100,4,2,1,2.1318461803619654e-08,mgL
freq, real, imaginary, concentration
1000,-22561,1000,25.0
1020,-22099,1020,25.0
1040,-21568,1040,25.0
1060,-20989,1060,25.0
1080,-20448,1080,25.0
1100,-19809,1100,25.0
1120,-19150,1120,25.0
1140,-18461,1140,25.0
1160,-17801,1160,25.0
1180,-17078,1180,25.0
1200,-16386,1200,25.0
1220,-15717,1220,25.0
1240,-15073,1240,25.0
1260,-14429,1260,25.0
1280,-13838,1280,25.0
1300,-13263,1300,25.0
1320,-12697,1320,25.0
1340,-12161,1340,25.0
1360,-11655,1360,25.0
1380,-11167,1380,25.0
1400,-10708,1400,25.0
1420,-10255,1420,25.0
1440,-9890,1440,25.0
1460,-9566,1460,25.0
1480,-9251,1480,25.0
1500,-8955,1500,25.0
1520,-8719,1520,25.0
1540,-8541,1540,25.0
1560,-8383,1560,25.0
1580,-8221,1580,25.0
1600,-8157,1600,25.0
1620,-8180,1620,25.0
1640,-8179,1640,25.0
1660,-8169,1660,25.0
1680,-8221,1680,25.0
1700,-8292,1700,25.0
1720,-8418,1720,25.0
1740,-8524,1740,25.0
1760,-8639,1760,25.0
1780,-8776,1780,25.0
1800,-8927,1800,25.0
1820,-9054,1820,25.0
1840,-9164,1840,25.0
1860,-9291,1860,25.0
1880,-9429,1880,25.0
1900,-9563,1900,25.0
1920,-9645,1920,25.0
1940,-9725,1940,25.0
1960,-9838,1960,25.0
1980,-9938,1980,25.0
2000,-9966,2000,25.0
2020,-9998,2020,25.0
2040,-10026,2040,25.0
2060,-10038,2060,25.0
2080,-10031,2080,25.0
2100,-10016,2100,25.0
2120,-9990,2120,25.0
2140,-9949,2140,25.0
2160,-9944,2160,25.0
2180,-9906,2180,25.0
2200,-9806,2200,25.0
2220,-9791,2220,25.0
2240,-9743,2240,25.0
2260,-9672,2260,25.0
2280,-9588,2280,25.0
2300,-9515,2300,25.0
2320,-9432,2320,25.0
2340,-9343,2340,25.0
2360,-9236,2360,25.0
2380,-9120,2380,25.0
2400,-9005,2400,25.0
2420,-8899,2420,25.0
2440,-8770,2440,25.0
2460,-8689,2460,25.0
2480,-8602,2480,25.0
2500,-8510,2500,25.0
2520,-8414,2520,25.0
2540,-8334,2540,25.0
2560,-8260,2560,25.0
2580,-8192,2580,25.0
2600,-8129,2600,25.0
2620,-8088,2620,25.0
2640,-8029,2640,25.0
2660,-7986,2660,25.0
2680,-7951,2680,25.0
2700,-7918,2700,25.0
2720,-7901,2720,25.0
2740,-7881,2740,25.0
2760,-7862,2760,25.0
2780,-7850,2780,25.0
2800,-7840,2800,25.0
2820,-7827,2820,25.0
2840,-7819,2840,25.0
2860,-7810,2860,25.0
2880,-7798,2880,25.0
2900,-7793,2900,25.0
2920,-7783,2920,25.0
2940,-7767,2940,25.0
2960,-7753,2960,25.0
2980,-7737,2980,25.0
1000,-26810,1000,50.0
1020,-26035,1020,50.0
1040,-25210,1040,50.0
1060,-24344,1060,50.0
1080,-23461,1080,50.0
1100,-22559,1100,50.0
1120,-21650,1120,50.0
1140,-20745,1140,50.0
1160,-19854,1160,50.0
1180,-18965,1180,50.0
1200,-18100,1200,50.0
1220,-17254,1220,50.0
1240,-16428,1240,50.0
1260,-15627,1260,50.0
1280,-14856,1280,50.0
1300,-14103,1300,50.0
1320,-13389,1320,50.0
1340,-12697,1340,50.0
1360,-12039,1360,50.0
1380,-11411,1380,50.0
1400,-10816,1400,50.0
1420,-10261,1420,50.0
1440,-9738,1440,50.0
1460,-9257,1460,50.0
1480,-8804,1480,50.0
1500,-8401,1500,50.0
1520,-8039,1520,50.0
1540,-7725,1540,50.0
1560,-7457,1560,50.0
1580,-7227,1580,50.0
