#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_ph_3,20.5,100,50,200,4,1,1,1.0126858710209283e-08
freq, real, imaginary, concentration
100,17289,100,0.625
150,6280,150,0.625
200,358,200,0.625
250,130,250,0.625
300,63,300,0.625
350,-158,350,0.625
400,-830,400,0.625
450,-2330,450,0.625
500,-4919,500,0.625
550,-8482,550,0.625
600,-12588,600,0.625
650,-16709,650,0.625
700,-20403,700,0.625
750,-23319,750,0.625
800,-25266,800,0.625
850,-26133,850,0.625
900,-25945,900,0.625
950,-24820,950,0.625
1000,-23017,1000,0.625
1050,-20831,1050,0.625
1100,-18507,1100,0.625
1150,-16186,1150,0.625
1200,-13975,1200,0.625
1250,-11928,1250,0.625
1300,-10070,1300,0.625
1350,-8418,1350,0.625
1400,-6962,1400,0.625
1450,-5687,1450,0.625
1500,-4639,1500,0.625
1550,-3853,1550,0.625
1600,-3330,1600,0.625
1650,-3073,1650,0.625
1700,-3030,1700,0.625
1750,-3156,1750,0.625
1800,-3383,1800,0.625
1850,-3657,1850,0.625
1900,-3912,1900,0.625
1950,-4113,1950,0.625
2000,-4239,2000,0.625
2050,-4295,2050,0.625
2100,-4288,2100,0.625
2150,-4229,2150,0.625
2200,-4125,2200,0.625
2250,-3986,2250,0.625
2300,-3810,2300,0.625
2350,-3618,2350,0.625
2400,-3413,2400,0.625
2450,-3188,2450,0.625
2500,-2985,2500,0.625
2550,-2804,2550,0.625
2600,-2663,2600,0.625
2650,-2570,2650,0.625
2700,-2521,2700,0.625
2750,-2505,2750,0.625
2800,-2519,2800,0.625
2850,-2544,2850,0.625
2900,-2569,2900,0.625
2950,-2578,2950,0.625
3000,-2574,3000,0.625
3050,-2547,3050,0.625
3100,-2518,3100,0.625
3150,-2471,3150,0.625
3200,-2417,3200,0.625
3250,-2353,3250,0.625
3300,-2284,3300,0.625
3350,-2208,3350,0.625
3400,-2127,3400,0.625
3450,-2047,3450,0.625
3500,-1953,3500,0.625
3550,-1880,3550,0.625
3600,-1821,3600,0.625
3650,-1770,3650,0.625
3700,-1735,3700,0.625
3750,-1710,3750,0.625
3800,-1703,3800,0.625
3850,-1693,3850,0.625
3900,-1681,3900,0.625
3950,-1668,3950,0.625
4000,-1652,4000,0.625
4050,-1621,4050,0.625
4100,-1579,4100,0.625
4150,-1543,4150,0.625
4200,-1505,4200,0.625
4250,-1464,4250,0.625
4300,-1416,4300,0.625
4350,-1365,4350,0.625
4400,-1311,4400,0.625
4450,-1258,4450,0.625
4500,-1208,4500,0.625
4550,-1166,4550,0.625
4600,-1124,4600,0.625
4650,-1097,4650,0.625
4700,-1074,4700,0.625
4750,-1056,4750,0.625
4800,-1043,4800,0.625
4850,-1028,4850,0.625
4900,-1012,4900,0.625
4950,-994,4950,0.625
5000,-963,5000,0.625
5050,-936,5050,0.625
5100,-920,5100,0.625
5150,-879,5150,0.625
5200,-846,5200,0.625
5250,-810,5250,0.625
5300,-777,5300,0.625
5350,-743,5350,0.625
5400,-702,5400,0.625
5450,-665,5450,0.625
5500,-619,5500,0.625
5550,-593,5550,0.625
5600,-568,5600,0.625
5650,-545,5650,0.625
5700,-523,5700,0.625
5750,-504,5750,0.625
5800,-487,5800,0.625
5850,-468,5850,0.625
5900,-456,5900,0.625
5950,-443,5950,0.625
6000,-417,6000,0.625
6050,-395,6050,0.625
6100,-388,6100,0.625
6150,-348,6150,0.625
6200,-320,6200,0.625
6250,-279,6250,0.625
6300,-260,6300,0.625
6350,-231,6350,0.625
6400,-195,6400,0.625
6450,-162,6450,0.625
6500,-120,6500,0.625
6550,-104,6550,0.625
6600,-81,6600,0.625
6650,-59,6650,0.625
6700,-39,6700,0.625
6750,-25,6750,0.625
6800,-8,6800,0.625
6850,16,6850,0.625
6900,32,6900,0.625
6950,61,6950,0.625
7000,65,7000,0.625
7050,96,7050,0.625
7100,104,7100,0.625
7150,140,7150,0.625
7200,141,7200,0.625
7250,156,7250,0.625
7300,188,7300,0.625
7350,223,7350,0.625
7400,240,7400,0.625
7450,261,7450,0.625
7500,284,7500,0.625
7550,309,7550,0.625
7600,327,7600,0.625
7650,347,7650,0.625
7700,374,7700,0.625
7750,384,7750,0.625
7800,396,7800,0.625
7850,413,7850,0.625
7900,431,7900,0.625
7950,450,7950,0.625
8000,464,8000,0.625
8050,487,8050,0.625
8100,506,8100,0.625
8150,528,8150,0.625
8200,529,8200,0.625
8250,568,8250,0.625
8300,592,8300,0.625
8350,616,8350,0.625
8400,637,8400,0.625
8450,657,8450,0.625
8500,677,8500,0.625
8550,700,8550,0.625
8600,712,8600,0.625
8650,729,8650,0.625
8700,736,8700,0.625
8750,760,8750,0.625
8800,774,8800,0.625
8850,797,8850,0.625
8900,809,8900,0.625
8950,828,8950,0.625
9000,846,9000,0.625
9050,865,9050,0.625
9100,898,9100,0.625
9150,904,9150,0.625
9200,922,9200,0.625
9250,938,9250,0.625
9300,959,9300,0.625
9350,971,9350,0.625
9400,999,9400,0.625
9450,1023,9450,0.625
9500,1036,9500,0.625
9550,1052,9550,0.625
9600,1068,9600,0.625
9650,1086,9650,0.625
9700,1099,9700,0.625
9750,1116,9750,0.625
9800,1113,9800,0.625
9850,1144,9850,0.625
9900,1160,9900,0.625
9950,1178,9950,0.625
10000,1182,10000,0.625
10050,1211,10050,0.625
100,13881,100,1.25
150,166,150,1.25
200,136,200,1.25
250,116,250,1.25
300,93,300,1.25
350,47,350,1.25
400,-289,400,1.25
450,-1535,450,1.25
500,-4070,500,1.25
550,-7670,550,1.25
600,-11838,600,1.25
650,-16026,650,1.25
700,-19794,700,1.25
750,-22763,750,1.25
800,-24772,800,1.25
850,-25689,850,1.25
900,-25544,900,1.25
950,-24416,950,1.25
1000,-22588,1000,1.25
1050,-20384,1050,1.25
1100,-18048,1100,1.25
1150,-15722,1150,1.25
1200,-13508,1200,1.25
1250,-11465,1250,1.25
1300,-9623,1300,1.25
1350,-7978,1350,1.25
1400,-6536,1400,1.25
1450,-5265,1450,1.25
1500,-4218,1500,1.25
1550,-3428,1550,1.25
1600,-2907,1600,1.25
1650,-2646,1650,1.25
1700,-2603,1700,1.25
1750,-2736,1750,1.25
1800,-2965,1800,1.25
1850,-3241,1850,1.25
1900,-3503,1900,1.25
1950,-3707,1950,1.25
2000,-3835,2000,1.25
2050,-3890,2050,1.25
2100,-3883,2100,1.25
2150,-3822,2150,1.25
2200,-3720,2200,1.25
2250,-3581,2250,1.25
2300,-3416,2300,1.25
2350,-3222,2350,1.25
2400,-3021,2400,1.25
2450,-2802,2450,1.25
2500,-2595,2500,1.25
2550,-2415,2550,1.25
2600,-2271,2600,1.25
2650,-2180,2650,1.25
2700,-2131,2700,1.25
2750,-2125,2750,1.25
2800,-2139,2800,1.25
2850,-2159,2850,1.25
2900,-2188,2900,1.25
2950,-2197,2950,1.25
3000,-2191,3000,1.25
3050,-2178,3050,1.25
3100,-2142,3100,1.25
3150,-2098,3150,1.25
3200,-2040,3200,1.25
3250,-1980,3250,1.25
3300,-1908,3300,1.25
3350,-1833,3350,1.25
3400,-1747,3400,1.25
3450,-1663,3450,1.25
3500,-1585,3500,1.25
3550,-1507,3550,1.25
3600,-1448,3600,1.25
3650,-1390,3650,1.25
3700,-1368,3700,1.25
3750,-1342,3750,1.25
3800,-1334,3800,1.25
3850,-1327,3850,1.25
3900,-1315,3900,1.25
3950,-1300,3950,1.25
4000,-1278,4000,1.25
4050,-1248,4050,1.25
4100,-1226,4100,1.25
4150,-1182,4150,1.25
4200,-1140,4200,1.25
4250,-1096,4250,1.25
4300,-1045,4300,1.25
4350,-1000,4350,1.25
4400,-945,4400,1.25
4450,-891,4450,1.25
4500,-845,4500,1.25
4550,-802,4550,1.25
4600,-758,4600,1.25
4650,-729,4650,1.25
4700,-708,4700,1.25
4750,-690,4750,1.25
4800,-672,4800,1.25
4850,-660,4850,1.25
4900,-638,4900,1.25
4950,-616,4950,1.25
5000,-589,5000,1.25
5050,-568,5050,1.25
5100,-546,5100,1.25
5150,-511,5150,1.25
5200,-474,5200,1.25
5250,-443,5250,1.25
5300,-406,5300,1.25
5350,-367,5350,1.25
5400,-327,5400,1.25
5450,-292,5450,1.25
5500,-264,5500,1.25
5550,-226,5550,1.25
5600,-196,5600,1.25
5650,-171,5650,1.25
5700,-150,5700,1.25
5750,-105,5750,1.25
5800,-112,5800,1.25
5850,-105,5850,1.25
5900,-80,5900,1.25
5950,-65,5950,1.25
6000,-42,6000,1.25
6050,-19,6050,1.25
6100,-10,6100,1.25
6150,29,6150,1.25
6200,57,6200,1.25
6250,105,6250,1.25
6300,120,6300,1.25
6350,151,6350,1.25
6400,188,6400,1.25
6450,221,6450,1.25
6500,238,6500,1.25
6550,280,6550,1.25
6600,303,6600,1.25
6650,324,6650,1.25
6700,341,6700,1.25
6750,368,6750,1.25
6800,376,6800,1.25
6850,383,6850,1.25
6900,414,6900,1.25
6950,441,6950,1.25
7000,452,7000,1.25
7050,494,7050,1.25
7100,492,7100,1.25
7150,513,7150,1.25
7200,537,7200,1.25
7250,545,7250,1.25
7300,581,7300,1.25
7350,623,7350,1.25
7400,631,7400,1.25
7450,657,7450,1.25
7500,681,7500,1.25
7550,706,7550,1.25
7600,724,7600,1.25
7650,744,7650,1.25
7700,744,7700,1.25
7750,781,7750,1.25
7800,797,7800,1.25
7850,818,7850,1.25
7900,834,7900,1.25
7950,845,7950,1.25
