#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_11,20.5,60000,40,500,4,1,1,7.128300377252934e-09
freq, real, imaginary, concentration
60000,13755,60000,0.625
60040,13764,60040,0.625
60080,13773,60080,0.625
60120,13780,60120,0.625
60160,13788,60160,0.625
60200,13801,60200,0.625
60240,13822,60240,0.625
60280,13813,60280,0.625
60320,13821,60320,0.625
60360,13830,60360,0.625
60400,13835,60400,0.625
60440,13847,60440,0.625
60480,13853,60480,0.625
60520,13860,60520,0.625
60560,13870,60560,0.625
60600,13864,60600,0.625
60640,13884,60640,0.625
60680,13892,60680,0.625
60720,13901,60720,0.625
60760,13908,60760,0.625
60800,13918,60800,0.625
60840,13924,60840,0.625
60880,13932,60880,0.625
60920,13943,60920,0.625
60960,13949,60960,0.625
61000,13960,61000,0.625
61040,13968,61040,0.625
61080,13977,61080,0.625
61120,13986,61120,0.625
61160,13995,61160,0.625
61200,14006,61200,0.625
61240,14026,61240,0.625
61280,14018,61280,0.625
61320,14030,61320,0.625
61360,14033,61360,0.625
61400,14046,61400,0.625
61440,14049,61440,0.625
61480,14060,61480,0.625
61520,14057,61520,0.625
61560,14070,61560,0.625
61600,14080,61600,0.625
61640,14090,61640,0.625
61680,14096,61680,0.625
61720,14100,61720,0.625
61760,14114,61760,0.625
61800,14126,61800,0.625
61840,14127,61840,0.625
61880,14135,61880,0.625
61920,14143,61920,0.625
61960,14152,61960,0.625
62000,14156,62000,0.625
62040,14164,62040,0.625
62080,14171,62080,0.625
62120,14178,62120,0.625
62160,14186,62160,0.625
62200,14196,62200,0.625
62240,14201,62240,0.625
62280,14213,62280,0.625
62320,14219,62320,0.625
62360,14223,62360,0.625
62400,14264,62400,0.625
62440,14136,62440,0.625
62480,14173,62480,0.625
62520,14553,62520,0.625
62560,14155,62560,0.625
62600,14265,62600,0.625
62640,14272,62640,0.625
62680,14290,62680,0.625
62720,14293,62720,0.625
62760,14306,62760,0.625
62800,14312,62800,0.625
62840,14322,62840,0.625
62880,14329,62880,0.625
62920,14337,62920,0.625
62960,14345,62960,0.625
