#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_4,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
73,15600,5368.369884981643,7945.871428777569,13580.355084834628
74,15800,5369.268255157062,7947.147586061616,13578.428756020536
75,16000,5367.736376568395,7944.729175448961,13569.343437302365
76,16200,5367.950377395222,7945.464584121712,13566.345468085798
77,16400,5366.428147904854,7948.057200700924,13571.400896125017
78,16600,5368.319560882647,7946.667151232263,13574.77965124553
79,16800,5367.278929934846,7945.149062741168,13568.95976347182
80,17000,5366.652625843844,7944.147072194877,13564.609917631155
81,17200,5366.704153654631,7943.193782449321,13562.437269946304
82,17400,5366.678202378134,7945.20365013607,13559.857064447398
83,17600,5367.001027038991,7946.525049639304,13563.933296489364
84,17800,5366.186402078828,7944.469735075174,13560.180858793743
85,18000,5364.191797123116,7944.833992433917,13553.080569349462
86,18200,5365.6227075990555,7941.0725602226385,13547.526346437042
87,18400,5365.377918615232,7942.887389114993,13553.605445208175
88,18600,5366.793201734701,7946.310838461148,13557.140547114825
89,18800,5367.7059471538705,7946.825424400333,13559.414583016522
90,19000,5368.09946539022,7946.682822957458,13554.465444520498
91,19200,5366.656098687213,7946.219925481468,13542.70233431037
92,19400,5366.076131726617,7945.224741021798,13537.10550094005
93,19600,5365.41152417178,7945.7349021366435,13539.441734363398
94,19800,5365.288670352945,7944.871387465877,13535.204671422945
95,20000,5360.42714670865,7946.075520920211,13536.2577486122
96,20200,5365.507878989921,7945.349144479329,13536.099515742011
97,20400,5363.916950244225,7945.854003853321,13535.013508041055
98,20600,5364.804373431443,7944.970188352757,13529.498815653962
99,20800,5364.065551291837,7942.6714062209285,13520.97520098472
100,21000,5364.728329974321,7943.601156611907,13514.496060323332
101,21200,5364.156345260955,7943.232833102036,13517.180654609034
102,21400,5364.470441255778,7944.655552783861,13512.712432308412
103,21600,5364.362504060848,7943.705799796047,13517.89256496801
104,21800,5364.106402041983,7942.95460976808,13511.285656922913
105,22000,5363.412694307025,7943.085259784055,13512.242511429691
106,22200,5363.916815042301,7944.28157918397,13510.247419464218
107,22400,5363.07179599836,7943.476809412108,13510.135209084805
108,22600,5364.089945504091,7944.613354404403,13503.913753367427
109,22800,5363.907239590897,7944.343409218073,13500.820450082854
110,23000,5364.018290938135,7945.180078168427,13500.309417369372
111,23200,5363.427474927375,7943.346630815095,13493.75875891787
112,23400,5363.923145684512,7944.119737572171,13488.48047448405
113,23600,5363.47169825551,7943.7320451929445,13491.82082076951
114,23800,5366.764421331012,7942.688629461365,13491.217165833448
115,24000,5362.565489606931,7942.983249435316,13483.46961386344
116,24200,5360.8425744951965,7943.133399703486,13478.61071101451
117,24400,5366.484702795226,7942.85988672739,13475.268437591923
118,24600,5362.643753816709,7943.215038123387,13472.457384443314
119,24800,5363.157078078914,7943.144091843007,13465.415045092168
120,25000,5374.9383531472,7942.90675716502,13466.477966068396
121,25200,5362.18299158978,7942.146809531156,13468.178005064929
122,25400,5362.454409267225,7943.370548069461,13468.602926562278
123,25600,5361.738719319281,7941.577611398532,13466.248549132362
124,25800,5361.261259496242,7940.58982044971,13456.946347081213
125,26000,5360.664907777779,7940.534941081134,13453.355135319054
126,26200,5361.387045345705,7941.350327735154,13450.934623463128
127,26400,5361.947300545526,7944.291836720332,13456.633282082059
128,26600,5362.478328545441,7945.3311284910715,13455.361782169233
129,26800,5362.036461610929,7944.908705494803,13451.378484756928
130,27000,5361.903345292547,7943.546447257426,13443.14404677729
131,27200,5361.510306436271,7941.862246794751,13442.988305683586
132,27400,5361.5716860056145,7940.921055917135,13438.01382458299
133,27600,5360.840526134428,7941.04523151834,13434.182848217204
134,27800,5369.634128287505,7940.363782554694,13432.12184216058
135,28000,5360.6150778927495,7941.045308936369,13430.677742074991
136,28200,5360.522471190509,7941.84954634967,13426.751246914351
137,28400,5361.161146990306,7941.537965693319,13423.454374590645
138,28600,5361.211968851336,7942.748253208475,13419.468454169655
139,28800,5360.59241397114,7940.823489773567,13413.654550654048
140,29000,5360.503324920921,7940.10946462563,13406.357399692786
141,29200,5360.106205157464,7939.68599101378,13407.999987288058
142,29400,5373.983555491261,7940.151049534002,13412.091692911423
143,29600,5359.550652304928,7940.291184135089,13411.536716401753
144,29800,5359.090940645833,7938.674798533939,13402.687418836887
145,30000,5358.701596675931,7939.498252175611,13392.426172699654
146,30200,5360.167290487617,7940.335712993583,13390.336687450836
147,30400,5359.879183170608,7940.644417133036,13393.21697693391
148,30600,5359.463193901778,7941.2592752082855,13397.856797323782
149,30800,5359.576024293832,7939.995393250011,13392.110657634308
150,31000,5359.384838807377,7939.768116434569,13383.140627053324
151,31200,5359.349513897572,7939.511715075309,13376.62464471202
152,31400,5358.4630897747975,7939.668348825012,13373.999736842572
153,31600,5358.375866955224,7938.736678231889,13369.93490222317
154,31800,5357.801148049146,7939.006903202134,13363.040350470264
155,32000,5358.0236493426555,7939.601907953166,13367.800159047594
156,32200,5358.0470892496,7939.200383697858,13363.657094099623
157,32400,5357.480075654288,7938.230931469955,13353.795626618787
158,32600,5356.406982873704,7937.948619505637,13352.758549863498
159,32800,5358.486828819758,7937.639533790202,13345.385735268163
160,33000,5357.545501171365,7937.120648933953,13343.510647476776
161,33200,5358.643891879768,7938.654146506804,13340.995362689564
162,33400,5357.289772030381,7937.405320764477,13344.921543136958
163,33600,5357.299256620056,7935.016954798731,13345.485561276435
164,33800,5356.261464382698,7935.414110707637,13338.960675534123
165,34000,5356.537947776257,7935.778360041049,13337.690813713341
166,34200,5356.361049225487,7937.330690335739,13336.78865445079
167,34400,5358.057386417912,7937.975993580081,13332.338489687672
168,34600,5357.179740209775,7937.8300533381525,13325.69896346686
169,34800,5357.432719725962,7937.0163430714065,13318.510253926544
170,35000,5357.2519054864215,7935.402368209629,13313.168696997382
171,35200,5356.733502211322,7935.975545339023,13312.53691046679
172,35400,5356.43258743573,7935.9123136039725,13309.713209446965
173,35600,5355.793470219173,7934.817498117573,13305.113838154539
174,35800,5356.317888512229,7934.706615255902,13305.307199142968
175,36000,5356.542422738551,7935.162327953698,13306.313224996427
176,36200,5356.467720058385,7935.58989389331,13306.438159544019
177,36400,5356.308781339066,7934.776846535699,13302.581381293161
178,36600,5356.180256362153,7935.754588563904,13292.188474794375
179,36800,5355.808330443815,7935.0921379337515,13285.259250096444
180,37000,5355.570233388344,7934.391601479394,13283.95235516412
181,37200,5355.7971199485555,7933.86653320303,13280.879283478444
182,37400,5355.071034074969,7933.520379763823,13277.33801951467
183,37600,5355.676817398178,7932.333724454372,13273.764634982219
184,37800,5355.162954904421,7932.1135603841,13268.428200928218
185,38000,5355.066752729406,7932.675117894098,13263.063571005272
186,38200,5354.988843530363,7932.603167464321,13259.848299194316
187,38400,5354.543405914927,7932.327679985743,13257.05882621497
188,38600,5355.4715712721,7932.628402626323,13250.344172842664
189,38800,5354.775969730381,7931.65258694288,13245.681981249343
190,39000,5354.932959919961,7931.080371623929,13243.27690303995
191,39200,5355.751795747177,7931.461920450938,13243.70112074474
192,39400,5354.210088806484,7931.872532613111,13236.881712645774
193,39600,5354.856900246969,7930.17700951943,13242.991919624912
194,39800,5354.793306023215,7930.690780707264,13236.282235103166
195,40000,5347.182561505765,7929.827535625547,13240.46485840741
196,40200,5353.496492453471,7928.269715106507,13218.142412657131
197,40400,5353.560103741085,7928.846177131449,13211.794006301545
198,40600,5353.418572704535,7927.001961642051,13219.45414536684
199,40800,5353.874042245805,7929.614337868278,13216.365768553429
200,41000,5353.7976243702215,7928.53435217244,13211.80672250934
201,41200,5353.793472607926,7927.05997499062,13204.77752973805
202,41400,5353.420399095021,7926.517753884365,13198.943638649704
203,41600,5353.611405583522,7926.074768043993,13193.31179092754
204,41800,5352.69086139051,7925.702514127821,13192.504871532245
205,42000,5353.267858445835,7927.081537798846,13193.853606956709
206,42200,5353.787248936635,7926.294609281446,13183.806320361356
207,42400,5353.258086927858,7926.903983582209,13178.32933238215
208,42600,5353.4665496776215,7926.421256608211,13171.14192722878
209,42800,5353.137915862702,7924.375574009359,13166.304393319408
210,43000,5353.190786655926,7924.301079717701,13159.748122476914
211,43200,5352.556314067451,7924.804937996836,13158.556815633308
212,43400,5351.639718217272,7923.483703781184,13153.625700414863
213,43600,5351.737663165891,7922.473281468894,13154.211201685335
214,43800,5352.838768463176,7922.303544459309,13151.53275055273
215,44000,5352.0946943323825,7924.216869079289,13148.040511892617
216,44200,5352.494587704083,7923.750041073736,13141.812646597364
217,44400,5353.261620795901,7924.0924555950705,13136.60381203055
218,44600,5352.1781659553735,7922.738978692023,13133.671542907829
219,44800,5351.58430271552,7921.445186695948,13137.297342298854
220,45000,5353.193600994455,7918.948865980484,13123.846048790527
221,45200,5351.768777610145,7920.273388644506,13122.41013692569
222,45400,5358.366321147566,7919.805260439889,13118.289385868631
223,45600,5350.908871161475,7920.063213518372,13111.875059636526
224,45800,5351.225407387025,7920.291285922997,13106.557853759716
225,46000,5351.650499797003,7919.906610772237,13106.72029260227
226,46200,5352.0500170891155,7920.915513412153,13104.617872638693
227,46400,5352.030669148277,7920.6673872706,13102.492353146097
228,46600,5351.626543452262,7919.037157055438,13099.796824686655
229,46800,5350.751350417914,7918.861934146535,13095.421655876507
230,47000,5351.283457230719,7918.33628402928,13094.871625414575
231,47200,5351.158602259787,7918.361460034826,13089.89742138409
232,47400,5350.473986036859,7917.777638061692,13089.813046105268
233,47600,5354.062898509506,7918.008761987397,13086.969859816863
234,47800,5350.144198332733,7918.257687313147,13077.523262318737
235,48000,5351.356371648192,7916.430947622929,13075.71146551769
236,48200,5351.15767837663,7916.039881497047,13073.865182587442
237,48400,5348.440351536237,7914.427400402213,13064.863715894151
238,48600,5350.4228690533855,7916.244188869806,13059.68049538005
239,48800,5347.787862422173,7914.30781583747,13052.266072880713
240,49000,5349.9777254301725,7914.915783729416,13047.511824064914
241,49200,5349.877912273556,7913.799597207475,13043.869714727556
242,49400,5348.199349241719,7912.0796195961975,13046.814790940125
243,49600,5349.886110803551,7912.875368458625,13043.112431144726
244,49800,5349.564684063358,7911.94658848127,13037.754948586542
245,50000,5331.894803245483,7913.259837086892,13035.61578954442
246,50200,5349.805697398864,7912.261055041321,13026.373630333128
247,50400,5349.451538090909,7911.830281087849,13023.141751488374
248,50600,5349.778680697437,7910.4983312781005,13020.908750952816
249,50800,5349.282282216267,7911.417976076869,13017.621141042728
250,51000,5349.156557652145,7909.751982373631,13016.938207473448
251,51200,5349.003442643139,7909.758612935357,13018.015058896812
252,51400,5348.724780726671,7909.172306218033,13003.785227200717
253,51600,5348.819576882958,7909.122664957137,13002.40625861955
254,51800,5349.591374053149,7908.475960693802,12997.170379720863
255,52000,5348.781653084065,7907.222670894414,12993.498240862467
256,52200,5348.8371392897625,7907.658655390751,12992.221542417981
257,52400,5348.8876745623165,7906.648848808413,12983.300140653186
258,52600,5348.147887501501,7905.884897670144,12979.522774330453
259,52800,5347.472440111243,7906.217386323779,12975.590747520415
260,53000,5348.0958439129545,7905.711743108862,12973.955576864591
261,53200,5344.946859352457,7903.149164066629,12974.491860916352
262,53400,5347.717379323527,7903.390839158704,12968.004869941393
263,53600,5347.261729954861,7903.040214009894,12960.865012219749
264,53800,5348.273462118411,7904.112333022911,12956.530463816482
265,54000,5348.371860966378,7905.159176048875,12960.389425953603
266,54200,5348.289221651959,7904.162643444599,12950.61757036518
267,54400,5348.0240085987825,7900.904858290768,12943.354401483644
268,54600,5347.415727703076,7902.128064460248,12939.539882636414
269,54800,5348.6246039924035,7900.997173185314,12939.152933922156
270,55000,5347.812610587391,7902.716061455534,12940.347160918785
271,55200,5347.841930514399,7901.626866387599,12938.95735158874
272,55400,5347.2867623508455,7902.791016916599,12930.317941488593
273,55600,5317.262886587193,7899.623840276245,12921.947655535061
274,55800,5346.741715549672,7897.783079301014,12912.26320682713
275,56000,5346.0230222770015,7896.5271516317025,12905.672880730534
276,56200,5346.571243911407,7896.655879243216,12904.371175005892
277,56400,5346.678874732873,7896.995199157848,12902.521023042023
278,56600,5345.471033599042,7896.512130014286,12899.335967902529
279,56800,5346.03008502333,7896.313786730251,12897.435353670247
280,57000,5346.786181216517,7896.089022507275,12897.95988216112
281,57200,5346.324107502556,7895.441172638472,12892.24084824832
282,57400,5346.384809472085,7894.295757291907,12881.635342960231
283,57600,5346.251272593123,7894.535302595749,12876.96723587893
284,57800,5346.256879413036,7893.8822329330615,12869.172547751607
285,58000,5346.5026676043635,7893.108469004868,12870.193583102493
286,58200,5346.320240853995,7893.036550856254,12865.024119585452
287,58400,5345.335967425977,7892.297869135783,12860.220152540778
288,58600,5346.148132303047,7891.853072701007,12856.052998210953
289,58800,5345.2109931099285,7890.089497051251,12850.493829714014
290,59000,5345.866948239077,7891.103226879872,12850.507061952623
291,59200,5345.4511980651105,7889.927755679365,12847.767766891715
292,59400,5345.414479296333,7890.783148742487,12840.931823226176
293,59600,5345.056666372859,7888.2540003206705,12834.392646016644
294,59800,5344.96882178895,7886.665160391723,12830.030686692839
295,60000,5343.816242309047,7887.319095318294,12830.057895675622
296,60200,5344.484625078988,7887.402489087486,12832.401673971823
297,60400,5345.185210721922,7887.455035094916,12827.80231459738
298,60600,5346.679244934256,7886.197556986678,12817.36088213574
299,60800,5344.654944403787,7884.452898876167,12810.503454598784
300,61000,5344.111960350335,7883.879726374023,12807.456413069778
301,61200,5343.538932792452,7882.54268364331,12808.796366945178
302,61400,5344.172799370208,7884.583360753742,12804.16662115143
303,61600,5344.533912081822,7883.724351110836,12801.716427873167
304,61800,5344.9415950179,7884.63249086444,12798.438510359432
305,62000,5344.561777739329,7884.7347955846535,12790.709664152786
306,62200,5344.28498143098,7882.393697014281,12786.667979811784
307,62400,5345.597450959663,7881.8099214566655,12784.094302650643
308,62600,5345.037945032797,7880.817172550902,12789.626030155288
309,62800,5344.003304749226,7880.856899519722,12780.28661344614
310,63000,5342.543864609174,7881.92521271751,12781.32580293271
311,63200,5343.680774684187,7879.632954224692,12781.563069328527
312,63400,5343.705654597118,7880.112326849792,12778.065992660873
313,63600,5343.480136078199,7877.583370174823,12767.172723663634
314,63800,5343.497873957114,7877.309695897834,12754.802462519587
315,64000,5343.754912188116,7876.998093617127,12751.224302007491
316,64200,5343.71785877753,7876.31169657588,12751.325589774839
317,64400,5343.206487208327,7874.374379009332,12748.4249925844
318,64600,5342.854768610702,7873.8036279644,12738.873449902669
319,64800,5342.962646749283,7874.597797208178,12738.870786598478
320,65000,5343.302334609771,7873.462157492983,12735.139540590986
321,65200,5342.68746627704,7872.782291913777,12726.246344295372
322,65400,5342.525924055416,7872.444776028745,12722.457516481556
323,65600,5343.305801627695,7872.078694676764,12717.169839761222
324,65800,5342.558677686192,7871.8802009323,12715.554033259397
325,66000,5342.934444532923,7872.334953803159,12708.7484072581
326,66200,5342.663575085497,7869.776451962168,12699.711163838092
327,66400,5342.303297056802,7869.297732514259,12694.256655161707
328,66600,5342.865850872409,7868.790527379947,12693.982053418444
329,66800,5341.974232221549,7868.254853104255,12691.47456761417
330,67000,5341.676080532107,7866.603053399941,12686.733745073994
331,67200,5342.192174700311,7867.098167919667,12681.891334076736
332,67400,5342.023536220344,7866.407181054679,12677.690113656781
333,67600,5341.455695920797,7865.316880053795,12673.618108812407
334,67800,5340.625642197481,7866.680874573758,12670.195447920283
335,68000,5341.791695185542,7865.320616193273,12666.073273369813
336,68200,5335.317236775493,7863.8501170443815,12659.620256227437
337,68400,5341.854709471334,7862.94685886434,12655.336567506938
338,68600,5341.641890069712,7863.677078497024,12650.245400286698
339,68800,5340.798631044621,7863.361754204527,12642.14001540317
340,69000,5342.950604945637,7861.261896445743,12639.302454680568
341,69200,5341.253548836223,7860.2500623435635,12632.681215221146
342,69400,5340.951466498819,7860.107816626638,12629.644977303547
343,69600,5341.014466756973,7859.543614649763,12628.918852082263
344,69800,5341.460353089638,7860.4599164042975,12628.166907302024
345,70000,5340.66582629983,7858.712321275024,12621.415596986224
346,70200,5339.261883156428,7857.061848648774,12618.407248670392
347,70400,5340.803435658036,7856.888607968389,12620.222461360687
348,70600,5340.733754331862,7856.068426057819,12622.172657811583
349,70800,5340.039123497101,7855.462126416786,12609.6565969398
350,71000,5340.92449735391,7855.821072429125,12604.9440883789
351,71200,5340.758404692046,7853.167613860862,12600.198715600796
352,71400,5312.013091218474,7851.05770492508,12604.016459974748
