#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#large_nano2_11,19.7,10000,450,200,4,1,1,1.0092016396570935e-08
freq, real, imaginary, concentration
,freq,0.625,1.25,2.5,5.0,10.0
0,10000,4841.617802760184,4841.32153323765,4841.193699791112,4841.4221175366865,4841.780078828395
1,10450,4834.4414536359345,4834.086078125687,4833.989367234379,4833.91244905896,4834.383236391549
2,10900,4838.34723342635,4837.89340468847,4836.941403987647,4837.957619121678,4838.17920622897
3,11350,4837.087274439217,4836.849102835468,4837.158978312523,4837.143946804761,4837.647319169585
4,11800,4837.9620939296365,4837.221566913625,4837.629729067938,4837.547448452836,4837.607025379034
5,12250,4837.581105052387,4837.01209859137,4836.954335906546,4837.128056670743,4837.517649285304
6,12700,4838.064066404718,4837.960035285773,4837.9032016066885,4838.140237124743,4837.892136110122
7,13150,4837.762192843767,4836.264334728449,4836.572519157098,4837.208119871399,4837.3783574429335
8,13600,4838.261542155388,4837.656843618038,4838.168133071174,4837.956765680334,4838.483349847554
9,14050,4837.499288106881,4836.640074695795,4837.3770604475985,4836.857055152267,4837.140062151079
10,14500,4838.093212468199,4837.439801630703,4837.288751930018,4837.971297310808,4837.770288044936
11,14950,4838.647370456475,4838.6291175581255,4838.360863008931,4839.080054624476,4839.372599925937
12,15400,4838.712220682873,4838.918021026467,4838.693938204957,4838.600244479236,4839.049073045131
13,15850,4838.933421048417,4838.496305674792,4838.864275005598,4839.10463719129,4839.265714208448
14,16300,4839.199647140512,4838.444408003179,4838.351743922942,4838.686259510647,4839.015449270211
15,16750,4838.809423022833,4838.498630351155,4839.024514406349,4839.457836549994,4839.833836447762
16,17200,4838.728576435932,4838.544224681008,4838.843365604404,4839.122087578758,4838.981029914265
17,17650,4839.928641092549,4839.644717217858,4839.638044184779,4839.905905021044,4839.931637566703
18,18100,4838.245906311144,4838.226798604024,4838.218493483468,4838.773715713338,4838.513714871
19,18550,4840.256144195783,4839.3838660469755,4839.5915357580425,4840.053146684054,4840.338280129485
20,19000,4841.22374606794,4841.125635486941,4841.083567635667,4841.320065490658,4841.469828793064
21,19450,4840.709633162092,4840.5426881482135,4840.516056404627,4840.597928325569,4840.5540606315535
22,19900,4840.259972839709,4841.38783172118,4841.290549035274,4840.380328554473,4840.9070575479855
23,20350,4841.146690046514,4841.222099286354,4841.0832036417405,4841.1194821068875,4841.563446584306
24,20800,4841.311022118361,4840.85206674524,4840.676223138296,4840.791370490092,4841.220019143595
25,21250,4841.080569021474,4841.761067940864,4841.4718283508355,4840.940056395489,4841.557777002499
26,21700,4841.792951332111,4841.240710905195,4841.350639976383,4841.548495344798,4841.603348057744
27,22150,4841.488778458856,4841.212259079129,4841.635667587302,4841.335020392591,4841.572832357804
28,22600,4841.809529094794,4841.634372944202,4841.485172283905,4841.8562113246635,4842.455726298147
29,23050,4842.992816447342,4842.058354718699,4842.329057713433,4842.157545349589,4842.886176547449
30,23500,4842.803818300035,4842.7581207999465,4842.443981887748,4842.588529085528,4843.163723371063
31,23950,4842.79147562535,4842.327895503199,4841.608254897436,4843.391679491158,4842.690568834556
32,24400,4843.679700839969,4842.479516074712,4842.628276629361,4842.853508063666,4843.158811800579
33,24850,4842.849898838306,4842.825536778201,4842.915820529527,4843.01211372348,4843.332172092527
34,25300,4843.467494573581,4843.466192674229,4843.162334939729,4843.677108274008,4843.875405291591
35,25750,4843.382578217525,4843.21960872355,4843.100666652373,4843.268437675119,4843.8562308092805
36,26200,4843.910623731117,4843.41096996357,4843.8359511337185,4844.200248564001,4843.524252619621
37,26650,4845.1631457876,4844.9531306124945,4844.9770556733665,4845.105021094012,4845.24062546289
38,27100,4844.869085858817,4844.653434244552,4844.684152996205,4845.001965681264,4845.223462143158
39,27550,4844.625431759711,4844.96297627364,4844.88771640574,4845.283722824032,4845.182463226631
40,28000,4845.295476322775,4844.389502891027,4844.850855118254,4845.123712284481,4844.993671955429
41,28450,4845.644992284196,4845.788163296411,4845.0763041549935,4845.106967238246,4845.906868866944
42,28900,4845.521010612102,4845.5666183528565,4845.235667023066,4845.166742810466,4845.555766699207
43,29350,4845.54209360354,4845.334369485833,4847.04282124629,4846.469026475347,4846.001972896786
44,29800,4846.300406760759,4846.040964211891,4845.4404528292,4847.480888284457,4847.350136059017
45,30250,4846.275540479453,4846.461142594128,4846.13298118782,4846.945377034951,4846.622021967552
46,30700,4847.178083830526,4847.170190688977,4847.154445117672,4847.5005640982345,4847.616378983813
47,31150,4847.731059271873,4847.366765168785,4847.7380849223655,4847.589723132,4846.902739792316
48,31600,4847.608588120275,4847.247053317655,4847.409524865374,4847.656917605241,4847.901702454241
49,32050,4848.110081914216,4848.32652048368,4848.066421662351,4848.126312640872,4848.369491306008
50,32500,4848.05098069933,4847.639838817628,4847.872454191024,4847.944778027597,4848.266186827358
51,32950,4848.69547183388,4848.3565894925705,4848.081880181236,4848.1974523823055,4848.698641355317
52,33400,4848.597231361406,4848.569160434885,4848.701479997924,4848.670133300802,4849.146831304158
53,33850,4848.1960654204695,4848.121803766953,4848.286551215781,4848.316445372481,4848.531083199647
54,34300,4849.948944955118,4849.8570648010755,4849.792840095776,4850.118683687428,4850.007273205181
55,34750,4849.571587631054,4850.365306034858,4850.458609792894,4850.555586090268,4850.644158246846
56,35200,4850.429623220764,4850.0887736113145,4850.0938399256065,4850.554609731327,4850.789929288224
57,35650,4850.36802557494,4850.239694998909,4850.408400823462,4850.5591253963685,4850.456819909312
