#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_1,21.0,100,50,200,4,1,1,1.0126858710209283e-08
freq, real, imaginary, concentration
,freq,0.625,1.25,2.5,5.0,10.0
0,100,4797.339852672872,6967.404834825104,7216.049840476491,7399.076631214431,8145.167074975912
1,150,8580.543729740253,553104.2112045822,571941.415307333,571941.415307333,571941.415307333
2,200,21711.592085384516,580866.4966606318,580866.4966606318,578142.2432716191,580866.4966606318
3,250,67952.37100274069,589108.4789460041,589108.4789460041,589108.4789460041,589108.4789460041
4,300,74751.84803764937,597295.9131763914,599349.7468824959,599349.7468824959,597295.9131763914
5,350,49715.011553226905,526026.1074691312,602565.9477207877,611499.9639220787,611499.9639220787
6,400,29411.217869533262,161748.51764562944,235651.6110540199,273411.3408562875,388774.9411581669
7,450,17865.351296254248,46803.00820672904,53821.99691813004,56983.677778899975,71266.43594016001
8,500,11626.591043339113,20389.02977602241,21788.651768211665,22413.662511769544,25629.529507018204
9,550,8215.980567469154,11699.58081247461,12160.49708013557,12385.592016332788,13531.635994936105
10,600,6270.0893685584515,7954.973557335704,8151.343649376462,8262.278124595972,8803.097040559509
11,650,5101.243466805855,6035.960099829785,6140.341156878035,6202.251611141157,6503.678264788155
12,700,4369.3230207484485,4934.83737558482,5000.326050687316,5034.595200100864,5224.550726754706
13,750,3891.4375082399683,4259.30596880416,4300.322533709204,4326.596376427058,4451.252036028722
14,800,3579.4958777631655,3826.767927610085,3854.965324070125,3873.4506851868373,3959.706912185401
15,850,3377.965774960326,3549.0699526108788,3567.6957071521583,3581.171692923856,3643.4998880989565
16,900,3254.6528371906206,3375.6380624702456,3387.4622943656536,3398.33637618411,3444.5392823271495
17,950,3190.223467430988,3274.3479730880513,3284.127429375302,3292.067454982431,3326.6028943162405
18,1000,3164.8934317241656,3224.880767033627,3231.7120562494006,3237.712209744304,3263.779528435666
19,1050,3167.376917601141,3206.445896668959,3210.440418489342,3214.917098102768,3236.951039239056
