#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#mahin_nh4no3_1,21.3,10000,300,300,4,1,1,1.01432854305411e-08
freq, real, imaginary, concentration
,freq,0.75,1.5,3.0,6.0,12.0
0,10000,4890.560572418112,4834.140357404914,4825.559321415476,4825.053971345647,4825.553407908554
1,10300,4877.2485038876675,4821.484617641551,4811.663264557499,4810.27520243983,4809.96823670063
2,10600,4880.984644459358,4824.96123665671,4815.045339464414,4813.147555735779,4813.05825326863
3,10900,4881.745666650259,4825.664461764231,4816.1479342426765,4814.794694561432,4814.686588466398
4,11200,4880.939343068886,4825.131454677361,4815.2547206697745,4814.227081029052,4814.188204916816
5,11500,4880.669056432256,4824.45798650079,4815.338717449545,4813.834465815127,4813.771521100052
6,11800,4880.657495424571,4825.458517304616,4815.603918568829,4814.451677461485,4814.208610022916
7,12100,4880.431387482812,4825.095469076894,4815.078642671255,4814.415350476963,4813.6766410125665
8,12400,4880.382932180971,4825.204763309389,4815.794866147535,4814.8201259303905,4814.629133511297
9,12700,4880.909858660882,4825.082033195145,4815.409731011685,4815.443053268651,4814.243790068283
10,13000,4879.189873039989,4823.922012401195,4814.765617508945,4813.70831490236,4813.696477286681
11,13300,4879.069986074761,4823.868776481974,4814.609285705131,4813.722252759572,4813.376252138803
12,13600,4880.184790549145,4825.131217737259,4815.778290335585,4814.876301457114,4814.667405964763
13,13900,4879.228827450484,4824.39458947962,4816.664626762115,4814.2039262962935,4813.712532396811
14,14200,4878.799430374872,4823.417823059426,4814.850685448676,4813.426439261437,4813.64817521138
15,14500,4879.896533597199,4824.415269053324,4815.872059401546,4814.829077822217,4814.77361594262
16,14800,4879.462537649603,4825.0254939231445,4817.078859551855,4814.840056733987,4815.546786936327
17,15100,4879.480538815425,4825.234446020389,4816.277380584081,4815.145727845411,4815.037529190021
18,15400,4879.577964916453,4825.100924365866,4816.453814294888,4815.592796555185,4815.703566287223
19,15700,4879.5207493104235,4825.066985140836,4816.776689276255,4815.948624297091,4815.831017524194
20,16000,4879.158968317764,4824.066501455662,4816.445790241104,4814.924307451794,4814.875336758062
21,16300,4879.567672772425,4824.363836326047,4816.547042254866,4815.294914969856,4815.8912735431795
22,16600,4879.604616014828,4825.307557058742,4817.08815755831,4816.396071890765,4815.832666533613
23,16900,4878.80839141963,4823.99495407368,4816.550836096211,4815.817900202984,4815.382693446696
24,17200,4878.838429201817,4824.193815041489,4816.597788498998,4815.885998824699,4815.853638403943
25,17500,4879.737166739553,4824.284870882723,4817.161071435909,4816.8651524981715,4816.643707529496
26,17800,4878.455578623473,4824.381442492263,4817.094321758007,4816.14853765772,4815.895008376115
27,18100,4877.239264957757,4824.0824006645125,4816.210598669497,4815.435373176697,4814.829238600718
28,18400,4878.069426439559,4824.213914460237,4816.7420343170725,4816.032611424696,4815.842508914254
29,18700,4879.662115498697,4825.592571567877,4818.528641568047,4818.059310753465,4817.450873574982
30,19000,4879.701834364498,4825.8967741575,4818.815513096898,4818.364139487579,4818.139628014538
31,19300,4879.1948147428,4825.3452986818575,4818.711769511145,4817.601413967151,4817.368445561321
32,19600,4878.934257497602,4825.340489899024,4818.563358125902,4817.957336231832,4817.515331640807
33,19900,4879.120475670221,4824.690136241283,4819.159118389133,4817.274013978034,4817.534893309137
34,20200,4878.640433807474,4824.924434348049,4818.919597274199,4817.798760418697,4817.646803746917
35,20500,4878.68969742535,4825.409374773262,4818.631884091112,4818.108004663382,4817.727468537599
36,20800,4877.729472241751,4825.106252536727,4818.339509364022,4817.9332013682015,4818.009254745866
37,21100,4878.312734627539,4824.490751754127,4818.491992010846,4817.696089147631,4817.933615598797
38,21400,4878.366133174306,4825.052307066823,4819.202300930362,4818.525925052071,4817.939869343132
39,21700,4878.086235826434,4825.093446463863,4818.815150446049,4818.431759175204,4818.128856672168
40,22000,4878.031025255987,4825.5590612900805,4819.225631500968,4819.009750294954,4818.609707511782
41,22300,4878.127636027214,4825.249981115545,4819.205824676952,4819.097029686984,4818.860965984738
42,22600,4878.1376981132125,4826.239751073508,4820.189326892365,4818.724887469434,4818.860879636847
43,22900,4877.605967838949,4824.805088330634,4820.24032662339,4819.9725269675,4819.056728586843
44,23200,4877.584178834271,4825.515303016813,4819.869307692368,4819.533480515641,4819.21621171351
45,23500,4877.825957628815,4825.905452629082,4820.211582902165,4820.0825852935,4819.038650993273
46,23800,4871.030725784187,4823.206948091902,4822.7090879012785,4818.6946340157265,4815.7193944416695
47,24100,4877.986492722411,4825.450534864704,4821.141736838307,4819.086580090354,4819.427047373942
48,24400,4877.628413803904,4825.971071715365,4820.967767495044,4820.200060207814,4819.693373830898
49,24700,4877.450585786769,4825.512938832245,4820.810121882582,4820.061569648438,4820.136917309943
50,25000,4872.977677112778,4823.948322071149,4824.314132294008,4822.795737480496,4823.469479550383
51,25300,4877.35220671918,4826.008539800989,4821.3645177274,4820.6550159077715,4820.319877221384
52,25600,4877.268485938914,4825.62463734327,4821.211145370701,4820.451757708395,4820.447879732901
53,25900,4876.446655236665,4825.140926531007,4820.730794829598,4820.131962771492,4820.1241680459925
54,26200,4877.098515040464,4825.360597873834,4821.265965241521,4820.378717352631,4820.146797627002
55,26500,4878.041152427671,4826.612862121348,4822.295927818051,4821.80223089226,4821.578651241317
56,26800,4878.2679495237135,4827.357318432396,4822.607100590545,4822.148990513867,4822.4722449290375
57,27100,4877.504905138647,4826.662724006132,4822.410241546721,4821.876973901276,4821.663982787724
