freq, 10.0, 1.25, 2.5
10000,16,14,15
11000,18,16,17
12000,9,6,8
13000,7,6,6
14000,13,10,10
15000,13,11,10
16000,9,10,7
17000,11,7,10
18000,13,9,12
19000,12,9,10
20000,10,7,8
21000,12,9,11
22000,12,9,10
23000,12,10,11
24000,12,9,11
25000,14,10,10
26000,15,9,12
27000,18,11,14
28000,16,14,13
29000,18,12,14
30000,16,13,14
31000,19,11,14
32000,20,13,15
33000,21,15,17
34000,16,10,16
35000,20,15,16
36000,24,16,20
37000,20,17,16
38000,24,16,21
39000,22,17,19
40000,24,19,19
41000,24,18,18
42000,21,16,17
43000,24,20,23
44000,31,20,23
45000,24,21,21
46000,29,22,24
47000,26,21,20
48000,30,21,25
49000,27,19,22
50000,28,20,21
51000,26,19,21
52000,27,18,23
53000,30,22,24
54000,29,21,24
55000,30,19,22
56000,27,21,23
57000,27,19,22
58000,24,21,18
59000,31,22,26
60000,30,21,23
61000,27,24,23
62000,29,20,24
63000,33,22,26
64000,33,23,27
65000,32,20,25
66000,30,23,25
67000,31,23,25
68000,33,22,25
69000,31,21,23
70000,34,22,26
71000,32,22,24
72000,35,23,27
73000,32,23,25
74000,30,21,24
75000,33,22,25
76000,31,21,27
77000,33,23,25
78000,31,23,24
79000,33,23,27
80000,33,23,26
81000,35,22,27
82000,33,23,25
83000,31,23,24
84000,32,24,26
85000,32,22,25
86000,33,29,25
87000,31,23,26
88000,32,22,26
89000,32,22,25
90000,30,22,24
91000,28,20,21
92000,31,23,25
93000,32,22,24
94000,29,20,26
95000,29,19,21
96000,29,21,26
97000,29,21,24
98000,30,22,23
99000,30,17,21
100000,30,22,24
101000,30,21,20
102000,27,20,23
103000,29,19,20
104000,27,19,24
105000,28,20,22
106000,24,15,23
107000,28,21,20
108000,26,19,19
