freq, 10.0, 2.5, 0.625
10000,16,15,13
11000,17,16,15
12000,8,8,6
13000,8,5,6
14000,11,10,9
15000,12,12,11
16000,10,7,8
17000,11,9,8
18000,12,10,9
19000,16,11,8
20000,12,9,6
21000,11,9,8
22000,14,9,9
23000,13,12,9
24000,15,11,8
25000,16,11,9
26000,15,12,10
27000,13,9,12
28000,18,13,12
29000,19,14,10
30000,18,14,10
31000,20,13,11
32000,18,17,12
33000,21,13,11
34000,22,14,10
35000,20,16,12
36000,23,19,16
37000,20,20,11
38000,25,18,16
39000,23,17,14
40000,25,20,18
41000,24,19,16
42000,23,17,12
43000,30,19,17
44000,28,20,21
45000,29,20,16
46000,27,23,18
47000,27,20,18
48000,29,23,20
49000,29,20,18
50000,26,19,16
51000,27,21,17
52000,30,23,19
53000,27,22,21
54000,29,22,20
55000,30,22,18
56000,32,24,19
57000,29,20,18
58000,25,18,19
59000,33,23,21
60000,31,23,20
61000,29,25,19
62000,30,22,18
63000,35,25,22
64000,33,26,22
65000,30,23,23
66000,34,23,20
67000,34,25,20
68000,35,26,20
69000,34,24,21
70000,35,25,21
71000,33,26,19
72000,36,25,21
73000,35,25,21
74000,32,27,19
75000,32,24,19
76000,36,25,18
77000,35,24,21
78000,35,27,22
79000,34,25,19
80000,35,24,21
81000,35,25,20
82000,36,24,19
83000,34,23,19
84000,35,23,20
85000,35,25,20
86000,36,27,20
87000,35,24,20
88000,34,25,20
89000,33,24,20
90000,32,26,20
91000,31,21,19
92000,34,24,20
93000,35,25,19
94000,33,22,20
95000,32,22,18
96000,34,25,19
97000,32,22,19
98000,32,21,16
99000,29,21,18
100000,31,22,18
101000,28,22,19
102000,32,21,17
103000,29,22,15
104000,33,21,18
105000,31,20,18
106000,28,19,18
107000,27,23,14
108000,29,19,16
