freq, 5.0, 2.5, 0.625
10000,15,14,14
11000,17,16,16
12000,8,7,6
13000,6,6,6
14000,11,10,9
15000,12,12,11
16000,7,8,7
17000,11,8,8
18000,10,10,8
19000,11,11,10
20000,8,8,4
21000,10,9,8
22000,11,8,9
23000,11,11,9
24000,12,10,9
25000,13,11,10
26000,12,11,9
27000,14,9,8
28000,13,11,10
29000,13,12,10
30000,16,12,11
31000,15,10,11
32000,18,15,11
33000,19,13,11
34000,18,11,13
35000,17,15,12
36000,21,16,16
37000,15,12,11
38000,21,19,17
39000,19,18,15
40000,22,19,16
41000,21,17,14
42000,18,16,13
43000,20,15,18
44000,23,22,18
45000,24,21,17
46000,22,21,18
47000,20,18,16
48000,24,22,20
49000,23,20,17
50000,22,20,19
51000,24,20,17
52000,24,22,19
53000,24,25,16
54000,23,21,18
55000,25,21,19
56000,27,25,19
57000,24,21,17
58000,24,21,18
59000,27,24,21
60000,25,23,19
61000,27,22,18
62000,24,22,18
63000,29,23,19
64000,28,25,19
65000,28,25,19
66000,26,24,19
67000,26,22,21
68000,27,24,21
69000,26,23,20
70000,28,25,20
71000,26,25,20
72000,27,23,19
73000,27,25,20
74000,26,25,17
75000,29,22,21
76000,28,25,21
77000,28,24,20
78000,27,23,21
79000,27,23,20
80000,27,23,20
81000,26,24,19
82000,26,25,20
83000,25,23,20
84000,27,22,19
85000,27,23,20
86000,25,19,22
87000,28,24,21
88000,26,22,19
89000,28,23,20
90000,25,21,21
91000,23,22,17
92000,27,23,20
93000,28,24,19
94000,25,21,18
95000,24,20,17
96000,26,22,20
97000,24,24,17
98000,26,20,19
99000,22,18,16
100000,24,22,18
101000,23,23,17
102000,23,19,18
103000,25,19,14
104000,23,22,16
105000,23,19,17
106000,22,18,15
107000,25,18,18
108000,23,19,15
