freq, 5.0, 10.0, 2.5, 1.25, 0.625, 0.0
10000,15,15,14,14,14,14
11000,17,17,16,16,16,15
12000,8,8,6,7,6,7
13000,6,7,6,6,5,4
14000,11,9,10,11,9,8
15000,11,11,12,10,9,8
16000,11,10,9,9,10,6
17000,10,9,8,8,7,8
18000,11,7,11,10,7,9
19000,11,13,9,11,10,10
20000,10,8,7,6,7,7
21000,11,11,10,7,7,7
22000,12,10,11,8,10,8
23000,11,13,10,9,9,7
24000,12,12,10,10,10,6
25000,11,11,10,10,11,10
26000,12,13,10,10,9,9
27000,14,12,11,7,9,11
28000,16,14,15,12,11,8
29000,15,15,13,12,11,9
30000,15,17,15,11,12,10
31000,15,16,12,14,11,10
32000,18,17,15,12,13,8
33000,18,16,17,13,10,10
34000,14,17,17,9,13,10
35000,19,21,15,12,12,10
36000,19,23,21,17,17,14
37000,15,24,16,13,13,13
38000,20,22,16,18,12,12
39000,19,22,17,17,15,12
40000,21,22,19,18,18,14
41000,20,23,17,18,15,13
42000,19,20,15,14,13,10
43000,19,23,20,14,18,13
44000,23,25,24,21,20,16
45000,21,24,21,18,19,12
46000,25,28,22,20,20,16
47000,22,26,20,19,16,15
48000,26,30,22,21,20,18
49000,22,25,20,19,18,15
50000,25,28,21,19,16,17
51000,25,29,22,20,19,16
52000,24,27,23,19,17,16
53000,27,31,22,24,16,17
54000,26,28,21,18,16,15
55000,26,30,21,21,18,17
56000,25,31,21,23,21,17
57000,24,28,21,19,18,17
58000,20,30,22,15,18,14
59000,27,32,25,20,21,17
60000,28,31,23,22,20,17
61000,28,29,22,21,19,20
62000,26,30,23,21,19,17
63000,28,34,26,22,23,18
64000,29,35,25,22,22,19
65000,24,36,22,18,18,21
66000,28,34,22,21,20,17
67000,29,33,24,23,21,21
68000,29,34,24,22,21,19
69000,27,33,24,21,20,18
70000,29,34,25,23,21,18
71000,28,35,23,20,18,17
72000,30,35,24,23,22,18
73000,29,35,25,22,19,18
74000,28,37,26,23,19,20
75000,29,34,24,20,21,18
76000,29,34,23,21,18,19
77000,29,36,25,22,21,18
78000,31,35,25,21,22,20
79000,28,37,25,21,21,18
80000,29,36,24,22,20,19
81000,28,37,26,23,21,17
82000,29,35,24,23,19,16
83000,29,36,24,24,20,20
84000,29,36,24,23,21,19
85000,28,36,24,21,20,18
86000,30,30,25,20,20,13
87000,29,36,25,22,21,17
88000,29,36,24,21,20,18
89000,30,37,23,21,21,17
90000,27,36,25,23,20,15
91000,26,33,20,18,14,13
92000,28,35,24,22,20,17
93000,29,35,24,22,20,17
94000,28,34,23,20,19,17
95000,26,33,21,18,17,15
96000,26,36,23,21,21,17
97000,30,35,22,19,19,17
98000,25,33,21,20,18,14
99000,26,31,20,18,15,14
100000,27,36,23,19,19,17
101000,23,33,20,16,16,14
102000,25,34,24,20,18,16
103000,25,31,21,19,15,16
104000,28,32,22,20,18,18
105000,26,34,21,19,17,16
106000,25,33,23,18,20,12
107000,25,33,22,19,18,16
108000,25,30,21,18,17,14
